Legislator,Mother
Kathy Castor,Betty Castor,Kathy Castor
Judy Chu,Unknown,Unknown
Yvette D. Clarke,Una S. T. Clarke,Yvette D. Clarke
Emanuel Cleaver,Unknown,Unknown
James E. Clyburn,Almeta Dizzley Clyburn,Unknown
Steve Cohen,Unknown,Unknown
Tom Cole,Unknown,Unknown
Gerald E. Connolly,Unknown,Unknown
Jim Costa,Unknown,Unknown
Joe Courtney,Unknown,Unknown
Mike Crapo,Melba Olson,Unknown
"Eric A. ""Rick"" Crawford",Unknown,Unknown
Henry Cuellar,Odilia Cuellar,Unknown
Danny K. Davis,Unknown,Unknown
Diana DeGette,Patricia Anna DeGette,Unknown
Rosa L. DeLauro,Luisa Canestrari DeLauro,Rosa DeLauro
Scott DesJarlais,Unknown,Unknown
Mario Diaz-Balart,Hilda Caballero Brunet,Unknown
Lloyd Doggett,Adriel Doggett,Unknown
Jeff Duncan,Unknown,Unknown
Anna G. Eshoo,Alice Kaligian,Unknown
"Charles J. ""Chuck"" Fleischmann",Unknown,Unknown
Virginia Foxx,Unknown,Unknown
John Garamendi,Mary Jean McSorley Garamendi,Unknown
Paul A. Gosar,Bernadette M. Gosar,Paul Gosar
Kay Granger,Unknown,Unknown
Chuck Grassley,Ruth Corwin Grassley,Chuck Grassley
Sam Graves,Unknown,Unknown
Al Green,Corine Green,Unknown
H. Morgan Griffith,Unknown,Unknown
Raúl M. Grijalva,Ramona Grijalva,Unknown
Brett Guthrie,Carolyn Guthrie,Unknown
Andy Harris,Unknown,Unknown
Martin Heinrich,Unknown,Unknown
Brian Higgins,Unknown,Unknown
James A. Himes,Judy Himes,Unknown
Mazie K. Hirono,Laura Chieko Hirono,Unknown
John Hoeven,Patricia Chapman,Unknown
Steny H. Hoyer,Marjorie L. Hoyer,Unknown
Bill Huizenga,Unknown,Unknown
Sheila Jackson Lee,Unknown,Unknown
Bill Johnson,Unknown,Unknown
"Henry C. ""Hank"" Johnson, Jr.",Unknown,Unknown
Ron Johnson,Unknown,Unknown
Jim Jordan,Unknown,Unknown
Marcy Kaptur,Anastasia Delores Rogowski Kaptur,Unknown
William R. Keating,Unknown,Unknown
Mike Kelly,Unknown,Unknown
Doug Lamborn,Unknown,Unknown
James Lankford,Linda Joyce Lankford,Unknown
Rick Larsen,Unknown,Unknown
John B. Larson,Unknown,Unknown
Robert E. Latta,Unknown,Unknown
Barbara Lee,Unknown,Unknown
Mike Lee,Unknown,Unknown
Zoe Lofgren,Unknown,Unknown
Frank D. Lucas,Unknown,Unknown
Blaine Luetkemeyer,Unknown,Unknown
Ben Ray Luján,Carmen Luján,Unknown
Stephen F. Lynch,Anne M. Lynch,Unknown
Edward J. Markey,Christina M. Markey,Unknown
Doris O. Matsui,Unknown,Unknown
Kevin McCarthy,Unknown,Unknown
Michael T. McCaul,Frances Jane Lott McCaul,Unknown
Tom McClintock,Unknown,Unknown
Betty McCollum,Unknown,Unknown
James P. McGovern,Unknown,Unknown
Patrick T. McHenry,Unknown,Unknown
Cathy McMorris Rodgers,Corrine McMorris,Unknown
Gregory W. Meeks,Unknown,Unknown
Gwen Moore,Unknown,Unknown
Jerry Moran,Doris Moran,Unknown
Lisa Murkowski,Nancy Murkowski,Lisa Murkowski
Christopher Murphy,Unknown,Unknown
Patty Murray,Beverly McLaughlin,Unknown
Jerrold Nadler,Miriam Nadler,Unknown
Grace F. Napolitano,Unknown,Unknown
Richard E. Neal,Mary Garvey Neal,Unknown
Eleanor Holmes Norton,Vela Holmes,Unknown
"Frank Pallone, Jr.",Beatrice Pallone,Unknown
"Bill Pascrell, Jr.",Maria Loffio Pascrell,Unknown
Rand Paul,Carol Wells,Unknown
Nancy Pelosi,"Annunciata M. ""Nancy"" D'Alesandro",Nancy Pelosi
Gary C. Peters,Madeleine A. Peters,Unknown
Chellie Pingree,Unknown,Unknown
Bill Posey,Unknown,Unknown
Mike Quigley,Unknown,Unknown
Harold Rogers,Unknown,Unknown
Mike Rogers,Unknown,Unknown
Marco Rubio,Oria Garcia Rubio,Unknown
C. A. Dutch Ruppersberger,Geraldine Ruppersberger,Unknown
Gregorio Kilili Camacho Sablan,Unknown,Unknown
John P. Sarbanes,Dina Sarbanes,Unknown
Steve Scalise,Carol Scalise,Unknown
Janice D. Schakowsky,Unknown,Unknown
Adam B. Schiff,Sherrill Ann Glovsky,Unknown
Charles E. Schumer,Selma Schumer,Amy Schumer
David Schweikert,Unknown,Unknown
Austin Scott,Unknown,Unknown
David Scott,Unknown,Unknown
"Robert C. ""Bobby"" Scott",Mae Hamlin Scott,Unknown
Tim Scott,Frances Scott,F. Scott Fitzgerald
Terri A. Sewell,Nancy Gardner Sewell,Terri Sewell
Brad Sherman,Lane Sherman,Unknown
Michael K. Simpson,Unknown,Unknown
Adam Smith,Margaret Douglas,James VI and I
Adrian Smith,Unknown,Unknown
Christopher H. Smith,Unknown,Unknown
Linda T. Sánchez,Maria Macias,Unknown
Bennie G. Thompson,Unknown,Unknown
Mike Thompson,Unknown,Unknown
Glenn Thompson,Unknown,Unknown
John Thune,Yvonne Patricia Thune,Unknown
Paul Tonko,Unknown,Unknown
Michael R. Turner,Unknown,Unknown
Chris Van Hollen,Edith Eliza Farnsworth Van Hollen,Chris Van Hollen
Nydia M. Velázquez,Unknown,Unknown
Tim Walberg,Unknown,Unknown
Debbie Wasserman Schultz,Ann Wasserman,Unknown
Maxine Waters,Velma Lee Carr Moore,Oprah Winfrey
Daniel Webster,Abigail Eastman,Unknown
Peter Welch,Unknown,Unknown
Joe Wilson,Unknown,Unknown
Frederica S. Wilson,Beulah Finley Smith,Unknown
Robert J. Wittman,Unknown,Unknown
Steve Womack,Unknown,Unknown
Ron Wyden,Edith Rosenow,Ernest O. Lawrence
Todd Young,Nancy Young,Unknown
Mark E. Amodei,Joyce B. Amodei,Unknown
Suzanne Bonamici,Unknown,Unknown
Suzan K. DelBene,Unknown,Unknown
Thomas Massie,Rhonda Massie,Unknown
"Donald M. Payne, Jr.",Hazel Johnson Payne,Unknown
Brian Schatz,Barbara Schatz,Unknown
Bill Foster,Unknown,Unknown
Dina Titus,Unknown,Unknown
Tom Cotton,Avis Cotton,Unknown
Kyrsten Sinema,Marilyn Sinema,Unknown
Doug LaMalfa,Unknown,Unknown
Jared Huffman,Unknown,Unknown
Ami Bera,Unknown,Unknown
Eric Swalwell,Vicky Swalwell,Unknown
Julia Brownley,Unknown,Unknown
Tony Cárdenas,Unknown,Unknown
Raul Ruiz,Unknown,Unknown
Mark Takano,Unknown,Unknown
Juan Vargas,Unknown,Unknown
Scott H. Peters,Unknown,Unknown
Lois Frankel,Unknown,Unknown
Tammy Duckworth,Lamai Sompornpairin,Unknown
Andy Barr,Unknown,Unknown
Elizabeth Warren,Pauline Reed,Unknown
"Angus S. King, Jr.",Ellen T. King,Unknown
Daniel T. Kildee,Unknown,Unknown
Ann Wagner,Unknown,Unknown
Steve Daines,Sharon R. Daines,Unknown
Richard Hudson,Unknown,Unknown
Kevin Cramer,Marlis Cramer,Unknown
Deb Fischer,Unknown,Unknown
Ann M. Kuster,Susan McLane,Kirsten Gillibrand
Grace Meng,Shiao-Mei Meng,Unknown
Hakeem S. Jeffries,Unknown,Unknown
Brad R. Wenstrup,Joan Wenstrup,Unknown
Joyce Beatty,Unknown,Unknown
David P. Joyce,Unknown,Unknown
Markwayne Mullin,Unknown,Unknown
Scott Perry,Unknown,Unknown
Matt Cartwright,Unknown,Unknown
Ted Cruz,Eleanor Darragh,Ted Cruz
"Randy K. Weber, Sr.",Unknown,Unknown
Joaquin Castro,Rosie Castro,Julián Castro
Roger Williams,Alice Pemberton,Unknown
Marc A. Veasey,Unknown,Unknown
Tim Kaine,Mary Kathleen Burns,Unknown
Derek Kilmer,J.C. Kilmer,Joyce Kilmer
Mark Pocan,Unknown,Unknown
Robin L. Kelly,Unknown,Unknown
Jason Smith,Unknown,Unknown
Cory A. Booker,Carolyn Rose Jordan,Unknown
Katherine M. Clark,Judith Clark,Harriet Clark
Donald Norcross,Carolyn Norcross,Unknown
Alma S. Adams,Unknown,Unknown
Gary J. Palmer,Unknown,Unknown
J. French Hill,Unknown,Unknown
Bruce Westerman,Unknown,Unknown
Ruben Gallego,Unknown,Unknown
Mark DeSaulnier,Unknown,Unknown
Pete Aguilar,Unknown,Unknown
Ted Lieu,Unknown,Unknown
Norma J. Torres,Unknown,Unknown
Ken Buck,Unknown,Unknown
"Earl L. ""Buddy"" Carter",Unknown,Unknown
Barry Loudermilk,Unknown,Unknown
Rick W. Allen,Unknown,Unknown
Mike Bost,Unknown,Unknown
Garret Graves,Unknown,Unknown
Seth Moulton,Lynn Alice Waterhouse,Unknown
John R. Moolenaar,Unknown,Unknown
Debbie Dingell,Unknown,Unknown
Tom Emmer,Unknown,Unknown
David Rouzer,Unknown,Unknown
Bonnie Watson Coleman,Unknown,Unknown
Elise M. Stefanik,Melanie Stefanik,Unknown
Brendan F. Boyle,Eileen Boyle,Unknown
Brian Babin,Unknown,Unknown
"Donald S. Beyer, Jr.",Nancy McDonald Beyer,Unknown
Stacey E. Plaskett,Unknown,Unknown
Dan Newhouse,Unknown,Unknown
Glenn Grothman,Unknown,Unknown
Alexander X. Mooney,Unknown,Unknown
Aumua Amata Coleman Radewagen,Fofo Iosefa Fiti Sunia,Aumua Amata Coleman Radewagen
Dan Sullivan,Unknown,Unknown
Joni Ernst,Marilyn Culver,Unknown
Thom Tillis,Margie Tillis,Pam Tillis
Mike Rounds,Joyce Grant,Unknown
Trent Kelly,Unknown,Unknown
Darin LaHood,Kathleen LaHood,Unknown
Warren Davidson,Unknown,Unknown
James Comer,Unknown,Unknown
Dwight Evans,Unknown,Unknown
John Kennedy,Rose Kennedy,John F. Kennedy
Margaret Wood Hassan,Margaret Wood Byron,Ada Lovelace
Catherine Cortez Masto,Joi Harris,Unknown
Bradley Scott Schneider,Unknown,Unknown
Andy Biggs,Unknown,Unknown
Ro Khanna,Jyotsna Khanna,Akshaye Khanna
Jimmy Panetta,Sylvia Panetta,Unknown
Salud O. Carbajal,Unknown,Unknown
Nanette Diaz Barragán,Unknown,Unknown
J. Luis Correa,Unknown,Unknown
Lisa Blunt Rochester,Unknown,Unknown
Matt Gaetz,Ginger Gaetz,Unknown
Neal P. Dunn,Unknown,Unknown
John H. Rutherford,Unknown,Unknown
Darren Soto,Unknown,Unknown
Brian J. Mast,Unknown,Unknown
A. Drew Ferguson IV,Unknown,Unknown
Raja Krishnamoorthi,Unknown,Unknown
Jim Banks,Unknown,Unknown
Roger Marshall,Unknown,Unknown
Clay Higgins,Unknown,Unknown
Mike Johnson,Unknown,Unknown
Jamie Raskin,Unknown,Unknown
Jack Bergman,Unknown,Unknown
Ted Budd,Unknown,Unknown
Don Bacon,Unknown,Unknown
Josh Gottheimer,Unknown,Unknown
Jacky Rosen,Unknown,Unknown
Adriano Espaillat,Unknown,Unknown
Brian K. Fitzpatrick,Unknown,Unknown
Lloyd Smucker,Dorothy Smucker,Unknown
Jenniffer González-Colón,Unknown,Unknown
David Kustoff,Unknown,Unknown
Vicente Gonzalez,Unknown,Unknown
Jodey C. Arrington,Unknown,Unknown
Pramila Jayapal,Unknown,Unknown
Mike Gallagher,Unknown,Unknown
Ron Estes,Unknown,Unknown
Ralph Norman,Unknown,Unknown
Jimmy Gomez,Unknown,Unknown
John R. Curtis,Unknown,Unknown
Tina Smith,Unknown,Unknown
Cindy Hyde-Smith,Lorraine Hyde,Unknown
Debbie Lesko,Unknown,Unknown
Michael Cloud,Unknown,Unknown
Troy Balderson,Unknown,Unknown
Kevin Hern,Unknown,Unknown
Joseph D. Morelle,Unknown,Unknown
Mary Gay Scanlon,Unknown,Unknown
Susan Wild,Unknown,Unknown
Ed Case,Unknown,Unknown
Steven Horsford,Unknown,Unknown
Greg Stanton,Unknown,Unknown
Josh Harder,Unknown,Unknown
Katie Porter,Unknown,Unknown
Mike Levin,Unknown,Unknown
Joe Neguse,Nigisti Neguse,Unknown
Jason Crow,Unknown,Unknown
Jahana Hayes,Unknown,Unknown
Michael Waltz,Unknown,Unknown
W. Gregory Steube,Unknown,Unknown
Lucy McBath,Wilma Leonard,Leonard Cohen
Russ Fulcher,Unknown,Unknown
"Jesús G. ""Chuy"" García",Unknown,Unknown
Sean Casten,Unknown,Unknown
Lauren Underwood,Unknown,Unknown
James R. Baird,Unknown,Unknown
Greg Pence,Nancy Pence Fritsch,Mike Pence
Sharice Davids,Crystal Herriage,Kendall Vertes
Lori Trahan,Unknown,Unknown
Ayanna Pressley,Sandra Pressley,Ayanna Pressley
David J. Trone,Unknown,Unknown
Elissa Slotkin,Judith Slotkin,Unknown
Haley M. Stevens,Maria Marcantonio,Unknown
Rashida Tlaib,Faatima Harbi,Unknown
Angie Craig,Unknown,Unknown
Dean Phillips,DeeDee Cohen,Unknown
Ilhan Omar,Faduma Abukar Haji Hussein,Ilhan Omar
Pete Stauber,Unknown,Unknown
Michael Guest,Unknown,Unknown
Kelly Armstrong,Unknown,Unknown
Chris Pappas,Unknown,Unknown
Jefferson Van Drew,Unknown,Unknown
Andy Kim,Unknown,Unknown
Mikie Sherrill,Unknown,Unknown
Susie Lee,Unknown,Unknown
Alexandria Ocasio-Cortez,Blanca Ocasio-Cortez,Alexandria Ocasio-Cortez
Madeleine Dean,Joan A. Cunnane,Unknown
Chrissy Houlahan,Unknown,Unknown
Daniel Meuser,Unknown,Unknown
John Joyce,Unknown,Unknown
Guy Reschenthaler,Unknown,Unknown
William R. Timmons IV,Unknown,Unknown
Dusty Johnson,Unknown,Unknown
Tim Burchett,Joyce Burchett,Unknown
John W. Rose,Unknown,Unknown
Mark E. Green,Unknown,Unknown
Dan Crenshaw,Mary Crenshaw,Unknown
Lance Gooden,Unknown,Unknown
Lizzie Fletcher,Unknown,Unknown
Veronica Escobar,Unknown,Unknown
Chip Roy,Unknown,Unknown
Sylvia R. Garcia,Unknown,Unknown
Colin Z. Allred,Unknown,Unknown
Ben Cline,Unknown,Unknown
Abigail Davis Spanberger,Unknown,Unknown
Jennifer Wexton,Unknown,Unknown
Kim Schrier,Unknown,Unknown
Bryan Steil,Unknown,Unknown
Carol D. Miller,Unknown,Unknown
Rick Scott,Esther J. Scott,Travis Scott
Mike Braun,Unknown,Unknown
Josh Hawley,Virginia Hawley,Unknown
Mitt Romney,Lenore Romney,Mitt Romney
Jared F. Golden,Unknown,Unknown
Dan Bishop,Unknown,Unknown
Gregory F. Murphy,Unknown,Unknown
Kweisi Mfume,Mary Elizabeth Robinson,Unknown
Thomas P. Tiffany,Unknown,Unknown
Mike Garcia,Unknown,Unknown
Mark Kelly,Patricia Kelly,Grace Kelly
Cynthia M. Lummis,Doris M. Dickenson,Unknown
Darrell Issa,Martha Issa,Unknown
Pete Sessions,Alice June Lewis,Unknown
David G. Valadao,Unknown,Unknown
Tommy Tuberville,Olive Tuberville,Unknown
John W. Hickenlooper,Anne Hickenlooper,Unknown
Bill Hagerty,Unknown,Unknown
Jerry L. Carl,Unknown,Unknown
Barry Moore,Patsy Moore,Unknown
Jay Obernolte,Unknown,Unknown
Young Kim,Unknown,Unknown
Michelle Steel,Unknown,Unknown
Sara Jacobs,Unknown,Unknown
Lauren Boebert,Unknown,Unknown
Kat Cammack,Unknown,Unknown
Scott Franklin,Unknown,Unknown
Byron Donalds,Unknown,Unknown
Carlos A. Gimenez,Unknown,Unknown
Maria Elvira Salazar,Unknown,Unknown
Nikema Williams,Unknown,Unknown
Andrew S. Clyde,Unknown,Unknown
Marjorie Taylor Greene,Unknown,Unknown
Ashley Hinson,Unknown,Unknown
Mariannette Miller-Meeks,Unknown,Unknown
Randy Feenstra,Unknown,Unknown
Mary E. Miller,Unknown,Unknown
Frank J. Mrvan,Unknown,Unknown
Victoria Spartz,Unknown,Unknown
Tracey Mann,Unknown,Unknown
Jake LaTurner,Unknown,Unknown
Jake Auchincloss,Laurie Glimcher,Unknown
Lisa C. McClain,Unknown,Unknown
Michelle Fischbach,Unknown,Unknown
Cori Bush,Unknown,Unknown
"Matthew M. Rosendale, Sr.",Unknown,Unknown
Deborah K. Ross,Unknown,Unknown
Kathy E. Manning,Unknown,Unknown
Teresa Leger Fernandez,Unknown,Unknown
Andrew R. Garbarino,Unknown,Unknown
Nicole Malliotakis,Vera Malliotakis,Nicole Malliotakis
Ritchie Torres,Debra Bosolet,Unknown
Jamaal Bowman,Unknown,Unknown
Stephanie I. Bice,Unknown,Unknown
Cliff Bentz,Unknown,Unknown
Nancy Mace,Anne Mace,Unknown
Diana Harshbarger,Unknown,Unknown
Pat Fallon,Unknown,Unknown
August Pfluger,Unknown,Unknown
Ronny Jackson,Unknown,Unknown
Troy E. Nehls,Unknown,Unknown
Tony Gonzales,Judy Gonzales,Unknown
Beth Van Duyne,Unknown,Unknown
Blake D. Moore,Unknown,Unknown
Burgess Owens,Unknown,Unknown
Bob Good,Unknown,Unknown
Marilyn Strickland,Inmin Kim Harris,Unknown
Scott Fitzgerald,"Mary ""Mollie"" McQuillan Fitzgerald",F. Scott Fitzgerald
Alex Padilla,Santos Padilla,Unknown
Jon Ossoff,Heather Fenton,Unknown
Raphael G. Warnock,Verlene Warnock,Unknown
Claudia Tenney,Unknown,Unknown
Julia Letlow,Unknown,Unknown
Troy A. Carter,Unknown,Unknown
Melanie A. Stansbury,Unknown,Unknown
Jake Ellzey,Unknown,Unknown
Shontel M. Brown,Unknown,Unknown
Mike Carey,Unknown,Unknown
Sheila Cherfilus-McCormick,Unknown,Unknown
Mike Flood,Unknown,Unknown
Brad Finstad,Unknown,Unknown
Mary Sattler Peltola,Unknown,Unknown
Patrick Ryan,Unknown,Unknown
Rudy Yakym III,Unknown,Unknown
Ryan K. Zinke,Jean Montana Harlow Zinke,Jean Harlow
Katie Boyd Britt,Martha Boyd,Unknown
Eric Schmitt,Unknown,Unknown
J.D. Vance,Bev Vance,Unknown
John Fetterman,Unknown,Unknown
Dale W. Strong,Unknown,Unknown
Elijah Crane,Unknown,Unknown
Juan Ciscomani,Unknown,Unknown
Kevin Kiley,Unknown,Unknown
John S. Duarte,Unknown,Unknown
Kevin Mullin,Unknown,Unknown
Sydney Kamlager-Dove,Unknown,Unknown
Robert Garcia,Virginia Garcia,Unknown
Brittany Pettersen,Unknown,Unknown
Yadira Caraveo,Unknown,Unknown
Aaron Bean,Unknown,Unknown
Cory Mills,Unknown,Unknown
Maxwell Frost,Unknown,Unknown
Anna Paulina Luna,Unknown,Unknown
Laurel M. Lee,Unknown,Unknown
Jared Moskowitz,Unknown,Unknown
Richard McCormick,Unknown,Unknown
Mike Collins,Unknown,Unknown
James C. Moylan,Unknown,Unknown
Jill N. Tokuda,Unknown,Unknown
Zachary Nunn,Unknown,Unknown
Jonathan L. Jackson,Unknown,Unknown
Delia C. Ramirez,Unknown,Unknown
Nikki Budzinski,Unknown,Unknown
Eric Sorensen,Unknown,Unknown
Erin Houchin,Unknown,Unknown
Morgan McGarvey,Unknown,Unknown
Glenn Ivey,Unknown,Unknown
Hillary J. Scholten,Unknown,Unknown
John James,Unknown,Unknown
Shri Thanedar,Unknown,Unknown
Mark Alford,Unknown,Unknown
Eric Burlison,Unknown,Unknown
Mike Ezell,Unknown,Unknown
Donald G. Davis,Unknown,Unknown
Valerie P. Foushee,Unknown,Unknown
Chuck Edwards,Unknown,Unknown
Wiley Nickel,Unknown,Unknown
Jeff Jackson,Unknown,Unknown
"Thomas H. Kean, Jr.",Deborah Bye Kean,Andrew Kean
Robert Menendez,Evangelina Menendez,Robert Menendez
Gabe Vasquez,Unknown,Unknown
Nick LaLota,Unknown,Unknown
Anthony D’Esposito,Unknown,Unknown
Daniel S. Goldman,Unknown,Unknown
Michael Lawler,Unknown,Unknown
Marcus J. Molinaro,Unknown,Unknown
Brandon Williams,Unknown,Unknown
Nicholas A. Langworthy,Unknown,Unknown
Greg Landsman,Unknown,Unknown
Max L. Miller,Unknown,Unknown
Emilia Strong Sykes,Barbara Sykes,Unknown
Josh Brecheen,Unknown,Unknown
Val T. Hoyle,Unknown,Unknown
Lori Chavez-DeRemer,Unknown,Unknown
Andrea Salinas,Unknown,Unknown
Summer L. Lee,Unknown,Unknown
Christopher R. Deluzio,Unknown,Unknown
Seth Magaziner,Marion Claire Magaziner,Hillary Clinton
Russell Fry,Unknown,Unknown
Andrew Ogles,Unknown,Unknown
Nathaniel Moran,Unknown,Unknown
Keith Self,Unknown,Unknown
Morgan Luttrell,Holly Luttrell,Derek Hough
Monica De La Cruz,Unknown,Unknown
Jasmine Crockett,Unknown,Unknown
Greg Casar,Unknown,Unknown
Wesley Hunt,Unknown,Unknown
Jennifer Kiggans,Unknown,Unknown
Becca Balint,Unknown,Unknown
Marie Gluesenkamp Perez,Unknown,Unknown
Derrick Van Orden,Unknown,Unknown
Harriet M. Hageman,Unknown,Unknown
Pete Ricketts,Marlene Ricketts,Todd Ricketts
Jennifer L. McClellan,Unknown,Unknown
Laphonza R. Butler,Unknown,Unknown
Gabe Amo,Unknown,Unknown
