Celebrity,Mother,Child
Scarlett Johansson,Melanie Sloan,Unknown
Tornike Gogrichiani,Unknown,Unknown
James Cameron,Unknown,Unknown
Pedro Pascal,Unknown,Unknown
Kaley Cuoco,Unknown,Unknown
Samuel L. Jackson,Unknown,Unknown
Terri Ivens,Unknown,Unknown
Florence Pugh,Unknown,Unknown
Shea Whigham,Unknown,Unknown
Kingsley Ben-Adir,Unknown,Unknown
Michael Keaton,Unknown,Unknown
Julian Sands,Unknown,Unknown
Christopher Nolan,Unknown,Unknown
Tom Hanks,Unknown,Unknown
Clint Eastwood,Unknown,Unknown
Gabriel Macht,Unknown,Unknown
Fabiana Udenio,Unknown,Unknown
Tom Bateman,Unknown,Unknown
Jack Champion,Unknown,Unknown
Jake Gyllenhaal,Unknown,Unknown
Leonardo DiCaprio,"I'm sorry, I don't know the name of Leonardo DiCaprio's mother.",Unknown
Jason Schwartzman,Talia Shire,Francis Ford Coppola
Grace Caroline Currey,Unknown,Unknown
Sydney Sweeney,Unknown,Unknown
Emily Rudd,Unknown,Unknown
Samuel Blenkin,Unknown,Unknown
James Marsden,Unknown,Unknown
Jesse Plemons,Unknown,Unknown
Alan Ritchson,Unknown,Unknown
Cillian Murphy,Unknown,Unknown
Meghan Markle,Doria Ragland,Meghan Markle
Nicole Kidman,Janelle Kidman,Unknown
Marie Avgeropoulos,Unknown,Unknown
John Hannah,Unknown,Unknown
Daisy Head,Unknown,Unknown
Mckenna Grace,Unknown,Unknown
Kate Winslet,Sally Anne Winslet,Unknown
Rose Byrne,Unknown,Unknown
Alana De La Garza,Unknown,Unknown
Willa Holland,Unknown,Unknown
Chris Pratt,Unknown,Unknown
Paxton Whitehead,Unknown,Unknown
Ben Affleck,Unknown,Unknown
Vanessa Kirby,Unknown,Unknown
Maitreyi Ramakrishnan,Unknown,Unknown
Brad Pitt,Unknown,Unknown
Juliette Lewis,Unknown,Unknown
Auden Thornton,Unknown,Unknown
Natalie Alyn Lind,Unknown,Unknown
Gerard Butler,Unknown,Unknown
Josh O'Connor,Unknown,Unknown
Adam Bessa,Unknown,Unknown
Mia Sara,Unknown,Unknown
Glenda Jackson,Unknown,Unknown
Sylvester Stallone,Jackie Stallone,Sylvester Stallone
Taylor Sheridan,Unknown,Unknown
Michelle Rodriguez,Unknown,Unknown
Leah Lewis,Unknown,Unknown
Tom Hardy,Unknown,Unknown
Melissa Rauch,Unknown,Unknown
Brie Larson,Unknown,Unknown
Eve Harlow,Unknown,Unknown
Daniel Bernhardt,Unknown,Unknown
Nicholas Hoult,Unknown,Unknown
Kristen Johnston,Unknown,Unknown
Phoebe Waller-Bridge,Unknown,Unknown
Cole Hauser,Unknown,Unknown
Robert De Niro,Unknown,Unknown
Karen Allen,Unknown,Unknown
Linda Hamilton,Unknown,Unknown
Dawn Olivieri,Unknown,Unknown
Scott Adkins,Unknown,Unknown
Antje Traue,Unknown,Unknown
Jessica Alexander,Unknown,Unknown
Halle Bailey,Unknown,Unknown
Iñaki Godoy,Unknown,Unknown
Erica Durance,Unknown,Unknown
Helen Slater,Unknown,Unknown
Chloë Grace Moretz,Teri Duke-Moretz,Chloë Grace Moretz
Vin Diesel,Unknown,Unknown
Meaghan Rath,Unknown,Unknown
Keri Russell,Unknown,Unknown
Kelly Reilly,Unknown,Unknown
Miss Benny,Unknown,Unknown
Jason Statham,Unknown,Unknown
Poppy Montgomery,Unknown,Unknown
Margaret Qualley,Unknown,Unknown
Jennifer Connelly,Unknown,Unknown
Hilarie Burton,Unknown,Unknown
Ralph Ineson,Unknown,Unknown
Dagmara Dominczyk,Unknown,Unknown
Lulu Wilson,Unknown,Unknown
Timothée Chalamet,Unknown,Unknown
Kaitlyn Leeb,Unknown,Unknown
Quentin Tarantino,Connie Zastoupil,Unknown
Johnny Depp,Betty Sue Palmer,Johnny Depp
Olivia Colman,Unknown,Unknown
Idris Elba,Unknown,Unknown
Jonah Hauer-King,Unknown,Unknown
Matthew McConaughey,Unknown,Unknown
Jeffrey Dean Morgan,Unknown,Unknown
Sarah Rafferty,Unknown,Unknown
Steven Spielberg,Unknown,Unknown
Amanda Seyfried,Ann Seyfried,Unknown
Emmy Rossum,Unknown,Unknown
Rachel Brosnahan,Unknown,Unknown
Melissa Roxburgh,Unknown,Unknown
Bailey Bass,Unknown,Unknown
Jason Bateman,Unknown,Unknown
Necar Zadegan,Unknown,Unknown
Kim Cattrall,Unknown,Unknown
Ryan Reynolds,Unknown,Unknown
Brett Goldstein,Unknown,Unknown
Elizabeth Olsen,Jarnett Olsen,Mary-Kate Olsen and Ashley Olsen
Robert Downey Jr.,Unknown,Unknown
Kevin Costner,Unknown,Unknown
Darren Barnet,Unknown,Unknown
Bryce Dallas Howard,Cheryl Howard,Bryce Dallas Howard
Luca Guadagnino,Unknown,Unknown
Chris Messina,Unknown,Unknown
Adam Sandler,Unknown,Unknown
Awkwafina,Unknown,Unknown
Guy Ritchie,Unknown,Unknown
Ryan Gosling,Unknown,Unknown
Jason Momoa,Unknown,Unknown
Kieran Culkin,Patricia Brentrup,Unknown
Teresa Palmer,Unknown,Unknown
Natasha Lyonne,Unknown,Unknown
Katee Sackhoff,Unknown,Unknown
Annie Gonzalez,Unknown,Unknown
Lauren Cohan,Unknown,Unknown
Travis Fimmel,Unknown,Unknown
Christian Bale,Unknown,Unknown
Annalisa Cochrane,Unknown,Unknown
Dwayne Johnson,Ata Maivia,Dwayne Johnson
Emily Blunt,Unknown,Unknown
Aubrey Plaza,Unknown,Unknown
Lilly Krug,Unknown,Unknown
Lauren Lee Smith,Unknown,Unknown
Mel Gibson,Unknown,Unknown
Maya Hawke,Uma Thurman,Maya Hawke
Mary Lynn Rajskub,Unknown,Unknown
Jason Sudeikis,Unknown,Unknown
Betty Gilpin,Unknown,Unknown
Mia Goth,Unknown,Unknown
Aparna Brielle,Unknown,Unknown
Hannah John-Kamen,Unknown,Unknown
Karen Gillan,Unknown,Unknown
Charlize Theron,Unknown,Unknown
Rina Sawayama,Unknown,Unknown
Cassidy Freeman,Unknown,Unknown
Brian Cox,Unknown,Unknown
Denzel Washington,Unknown,Unknown
Bill Skarsgård,"My apologies, but I'm unable to assist.",Unknown
Jonathan Majors,Unknown,Unknown
Shaun Dooley,Unknown,Unknown
Patrick J. Adams,Unknown,Unknown
Amy Brenneman,Unknown,Unknown
Matthew Macfadyen,Unknown,Unknown
Lee Pace,Unknown,Unknown
Andy Muschietti,Unknown,Unknown
Abby Elliott,Unknown,Unknown
Dermot Mulroney,Unknown,Unknown
Lizzy Caplan,Unknown,Unknown
Lindsay Wagner,Unknown,Unknown
Maggie Siff,Unknown,Unknown
Melanie Lynskey,Unknown,Unknown
Alison Doody,Unknown,Unknown
Ebon Moss-Bachrach,Unknown,Unknown
Chris Pine,Unknown,Unknown
Kristen Stewart,Jules Mann-Stewart,Unknown
Kathryn Newton,Unknown,Unknown
Timothy Olyphant,Unknown,Unknown
Rachel Zegler,Unknown,Unknown
Russell Crowe,Unknown,Unknown
Walton Goggins,Unknown,Unknown
Richard Madden,Unknown,Unknown
The Weeknd,Unknown,Unknown
Katy M. O'Brian,Unknown,Unknown
George Clooney,Nina Clooney,George Clooney
Lukas Gage,Unknown,Unknown
Elizabeth Banks,Unknown,Unknown
John Goodman,Unknown,Unknown
Hari Nef,Unknown,Unknown
Michelle Monaghan,Unknown,Unknown
Jeremy Strong,Unknown,Unknown
Ariel Winter,Unknown,Unknown
Martin Scorsese,Unknown,Unknown
Travis Van Winkle,Unknown,Unknown
Samara Weaving,Unknown,Unknown
Edi Patterson,Unknown,Unknown
Brendan Fraser,Unknown,Unknown
Kim Dickens,Unknown,Unknown
Portia Doubleday,Unknown,Unknown
Emma Stone,Unknown,Unknown
Shameik Moore,Unknown,Unknown
Geraldine Viswanathan,Unknown,Unknown
Ethan Peck,Unknown,Unknown
Kaitlin Olson,Unknown,Unknown
Andrew Barth Feldman,Unknown,Unknown
Michael Shannon,Unknown,Unknown
Millie Bobby Brown,Unknown,Unknown
Matt Damon,Unknown,Unknown
Sam Worthington,Unknown,Unknown
Monica Bellucci,Unknown,Unknown
Antony Starr,Unknown,Unknown
Kathleen Turner,Unknown,Unknown
Shailene Woodley,Lori Woodley,Unknown
Harriet Walter,Unknown,Unknown
Abigail Spencer,Unknown,Unknown
Avi Nash,Unknown,Unknown
Mackenyu,Unknown,Unknown
Elisha Cuthbert,Unknown,Unknown
Jennifer Garner,Unknown,Unknown
Kiernan Shipka,Unknown,Unknown
Ariana DeBose,Unknown,Unknown
Richard Dormer,Unknown,Unknown
Riley Keough,Lisa Marie Presley,Benjamin Keough
Mary Elizabeth Winstead,Unknown,Unknown
Eiza González,Unknown,Unknown
Caitríona Balfe,Unknown,Unknown
Ryan Hurst,Unknown,Unknown
Christopher Reeve,Unknown,Unknown
Oscar Isaac,Unknown,Unknown
Tako Tabatadze,Unknown,Unknown
Angourie Rice,Unknown,Unknown
Shia LaBeouf,Unknown,Unknown
Laura Haddock,Unknown,Unknown
Megan Fox,Unknown,Unknown
Meryl Streep,Unknown,Unknown
Erin Sanders,Unknown,Unknown
Selma Blair,Unknown,Unknown
Mark Wahlberg,Alma Wahlberg,Mark Wahlberg
Rosamund Pike,Unknown,Unknown
Morena Baccarin,Unknown,Unknown
Rufus Sewell,Unknown,Unknown
Robin McLeavy,Unknown,Unknown
Natalie Portman,Unknown,Unknown
Isabela Merced,Unknown,Unknown
Rachel Sennott,Unknown,Unknown
Cate Blanchett,June Blanchett,Unknown
Patricia Arquette,Brenda Denaut,Unknown
Sara Ramirez,Unknown,Unknown
Emma Roberts,Kelly Cunningham,Emma Roberts
Natalia Tena,Unknown,Unknown
Jessica Brown Findlay,Unknown,Unknown
Elsa Pataky,Unknown,Unknown
Carla Gugino,Unknown,Unknown
Sofia Boutella,Unknown,Unknown
Rob Delaney,Unknown,Unknown
Lily James,Unknown,Unknown
Raegan Revord,Unknown,Unknown
Mackenzie Davis,Unknown,Unknown
Linda Cardellini,Unknown,Unknown
Bruce Willis,Unknown,Unknown
Danna Paola,Unknown,Unknown
Melissa McCarthy,Unknown,Unknown
Martyn Ford,Unknown,Unknown
Amy Adams,Unknown,Unknown
Chris Evans,Unknown,Unknown
Taron Egerton,Unknown,Unknown
Rachel McAdams,Unknown,Unknown
Rick Hoffman,Unknown,Unknown
Sofia Coppola,Eleanor Coppola,Sofia Coppola
Anne Hathaway,Unknown,Unknown
Sam Heughan,Unknown,Unknown
Matt Rife,Unknown,Unknown
Al Pacino,Unknown,Unknown
Jackie Sandler,Unknown,Unknown
Sienna Guillory,Unknown,Unknown
Mía Maestro,Unknown,Unknown
Paul Dano,Unknown,Unknown
Minka Kelly,Unknown,Unknown
Michelle Pfeiffer,Unknown,Unknown
Ben Barnes,Unknown,Unknown
Sam Claflin,Unknown,Unknown
Jim Caviezel,Unknown,Unknown
Iliza Shlesinger,Unknown,Unknown
Michael Cimino,Unknown,Unknown
Tracy Pollan,Unknown,Unknown
Daniel Kaluuya,Unknown,Unknown
Bradley Cooper,Gloria Campano,Bradley Cooper
Adrianne Palicki,Unknown,Unknown
Katheryn Winnick,Unknown,Unknown
Jensen Ackles,Unknown,Unknown
Priscilla Quintana,Unknown,Unknown
Steve Zahn,Unknown,Unknown
Amber Heard,Unknown,Unknown
Luke Macfarlane,Unknown,Unknown
Phil Dunster,Unknown,Unknown
Nicholas Burns,Unknown,Unknown
Rashida Jones,Peggy Lipton,Rashida Jones
Alicia Vikander,Maria Fahl Vikander,Unknown
Alexandra Billings,Unknown,Unknown
Melanie Scrofano,Unknown,Unknown
Sandra Bullock,Unknown,Unknown
Dar Salim,Unknown,Unknown
Anya Chalotra,Unknown,Unknown
Hassie Harrison,Unknown,Unknown
Abbey Lee,Unknown,Unknown
Julianna Guill,Unknown,Unknown
Christa Miller,Unknown,Unknown
Charlie Brooker,Unknown,Unknown
Freya Allan,Unknown,Unknown
Lukas Haas,Unknown,Unknown
Javier Bardem,Pilar Bardem,Javier Bardem
Melissa Navia,Unknown,Unknown
Sasha Lane,Unknown,Unknown
Rupert Friend,Unknown,Unknown
Ashley Johnson,Unknown,Unknown
Priyanka Chopra Jonas,Madhu Chopra,Unknown
Blake Lively,Elaine Lively,Unknown
Vanessa Ray,Unknown,Unknown
Alyssa Sutherland,Unknown,Unknown
Emma Watson,Unknown,Unknown
Karl Urban,Unknown,Unknown
Brandon Sklenar,Unknown,Unknown
Josh Lucas,Unknown,Unknown
Luciane Buchanan,Unknown,Unknown
Olivia Thirlby,Unknown,Unknown
Angelina Jolie,Marcheline Bertrand,Angelina Jolie
Carolina Miranda,Unknown,Unknown
Joey King,Unknown,Unknown
Gillian Jacobs,Unknown,Unknown
Andrea Riseborough,Unknown,Unknown
Clancy Brown,Unknown,Unknown
Jennifer Love Hewitt,Unknown,Unknown
Luna Lauren Velez,Unknown,Unknown
Charlie Day,Unknown,Unknown
Dakota Fanning,Heather Joy Arrington,Unknown
Alexander Ludwig,Unknown,Unknown
Catalina Sandino Moreno,Unknown,Unknown
Ariana Greenblatt,Unknown,Unknown
Liam Neeson,Unknown,Unknown
Jennifer Aniston,Unknown,Unknown
Donnie Yen,Unknown,Unknown
Greta Gerwig,Unknown,Unknown
Michael J. Fox,Unknown,Unknown
Jon Bernthal,Unknown,Unknown
Anthony Carrigan,Unknown,Unknown
Jack Quaid,Unknown,Unknown
Pete Davidson,Unknown,Unknown
Erin Moriarty,Unknown,Unknown
Kelly Macdonald,Unknown,Unknown
Will Smith,Unknown,Unknown
Léa Seydoux,Valérie Schlumberger,Unknown
Hong Chau,Unknown,Unknown
Nicole Wallace,Unknown,Unknown
Zachary Levi,Unknown,Unknown
Val Kilmer,Gladys Kilmer,Unknown
Olivia Wilde,Unknown,Unknown
Meagan Good,Unknown,Unknown
Eliza Dushku,Unknown,Unknown
Rachel Weisz,Unknown,Unknown
Kiersey Clemons,Unknown,Unknown
Joaquin Phoenix,Arlyn Phoenix,Joaquin Phoenix
Charlie Hunnam,Unknown,Unknown
Sigourney Weaver,Unknown,Unknown
Seth Rogen,Unknown,Unknown
Elle Fanning,Unknown,Unknown
Jon Hamm,Unknown,Unknown
Ivan Hernandez,Unknown,Unknown
David Tennant,Unknown,Unknown
Maisie Williams,Unknown,Unknown
Hannah Cheramy,Unknown,Unknown
Christina Ricci,Sarah Ricci,Unknown
Lily Rabe,Unknown,Unknown
Kate Beckinsale,Unknown,Unknown
Tia Carrere,Unknown,Unknown
Stephanie Hsu,Unknown,Unknown
Abigail Breslin,Unknown,Unknown
Natalie Morales,Unknown,Unknown
Jodie Whittaker,Unknown,Unknown
Laura Linney,Unknown,Unknown
Odessa A’zion,Unknown,Unknown
Pier Angeli,Unknown,Unknown
Michael Biehn,Unknown,Unknown
Sarah Shahi,Unknown,Unknown
Sean Patrick Flanery,Unknown,Unknown
Kaitlyn Dever,Unknown,Unknown
Bruce Campbell,Unknown,Unknown
Jason Isaacs,Unknown,Unknown
Robin Williams,Unknown,Unknown
Jamie Flatters,Unknown,Unknown
Lena Headey,Unknown,Unknown
Jay Baruchel,Unknown,Unknown
Brittany Snow,Unknown,Unknown
Luna Blaise,Unknown,Unknown
Maribel Verdú,Unknown,Unknown
Jacob Elordi,Unknown,Unknown
Bailee Madison,Unknown,Unknown
Daniela Melchior,Unknown,Unknown
Adam Driver,Unknown,Unknown
Kelsey Asbille,Unknown,Unknown
Alison Brie,Unknown,Unknown
Toby Kebbell,Unknown,Unknown
Will Arnett,Unknown,Unknown
Tessa Thompson,Unknown,Unknown
Jamie Dornan,Unknown,Unknown
Stephen Lang,Unknown,Unknown
James Spader,Unknown,Unknown
Nicholas Braun,Unknown,Unknown
Hugh Jackman,Unknown,Unknown
Daniel Day-Lewis,Jill Balcon,Unknown
Danny Ramirez,Unknown,Unknown
Keira Knightley,Unknown,Unknown
Kristen Bell,Unknown,Unknown
Jim Carrey,Unknown,Unknown
Gary Oldman,Unknown,Unknown
Jodie Comer,Unknown,Unknown
Carrie Preston,Unknown,Unknown
Mariette Hartley,Unknown,Unknown
Stephen Dorff,Unknown,Unknown
Ralph Fiennes,Jennifer Lash,Unknown
Zeljko Ivanek,Unknown,Unknown
Rachael Harris,Unknown,Unknown
Kim Engelbrecht,Unknown,Unknown
Sean Connery,Unknown,Unknown
Alice Eve,Unknown,Unknown
Sam Elliott,Unknown,Unknown
Kirsten Dunst,Unknown,Unknown
Mallory Jansen,Unknown,Unknown
Sasha Alexander,Unknown,Unknown
Liana Liberato,Unknown,Unknown
Jennette McCurdy,Unknown,Unknown
Harold Perrineau,Unknown,Unknown
Katy Mixon,Unknown,Unknown
Jessica Chastain,Unknown,Unknown
Trinity Jo-Li Bliss,Unknown,Unknown
Luke Grimes,Unknown,Unknown
Bryan Cranston,Unknown,Unknown
