Legislator,Mother,Child
Alma S. Adams,Unknown,Unknown
Gary J. Palmer,Unknown,Unknown
J. French Hill,Unknown,Unknown
Bruce Westerman,Unknown,Unknown
Ruben Gallego,Unknown,Unknown
Mark DeSaulnier,Unknown,Unknown
Pete Aguilar,Unknown,Unknown
Ted Lieu,Unknown,Unknown
Norma J. Torres,Unknown,Unknown
Ken Buck,Unknown,Unknown
"Earl L. ""Buddy"" Carter",Unknown,Unknown
Barry Loudermilk,Unknown,Unknown
Rick W. Allen,Unknown,Unknown
Mike Bost,Unknown,Unknown
Garret Graves,Unknown,Unknown
Seth Moulton,Lynn Alice Moulton,Seth Moulton
John R. Moolenaar,Unknown,Unknown
Debbie Dingell,Unknown,Unknown
Tom Emmer,Unknown,Unknown
David Rouzer,Unknown,Unknown
Bonnie Watson Coleman,Unknown,Unknown
Elise M. Stefanik,Melanie Stefanik,Elise Stefanik
Brendan F. Boyle,Eileen Boyle,Brendan F. Boyle
Brian Babin,Unknown,Unknown
"Donald S. Beyer, Jr.",Nancy McDonald Beyer,"Donald S. Beyer, Jr."
Stacey E. Plaskett,Unknown,Unknown
Dan Newhouse,Unknown,Unknown
Glenn Grothman,Unknown,Unknown
Alexander X. Mooney,Unknown,Unknown
Aumua Amata Coleman Radewagen,Fofo Iosefa Fiti Sunia,Aumua Amata Coleman Radewagen
Dan Sullivan,Unknown,Unknown
Joni Ernst,Marilyn Culver,Joni Ernst
Thom Tillis,Margie Tillis,Thom Tillis
Mike Rounds,Joyce Grant,Mike Rounds
Trent Kelly,Unknown,Unknown
Darin LaHood,Kathleen LaHood,Darin LaHood
Warren Davidson,Unknown,Unknown
James Comer,Unknown,Unknown
Dwight Evans,Unknown,Unknown
John Kennedy,Rose Kennedy,John F. Kennedy
Margaret Wood Hassan,Margaret Wood Hassan's mother is Margaret Byers Wood.,Margaret Wood Hassan
Catherine Cortez Masto,Joi Smith,Catherine Cortez Masto
Bradley Scott Schneider,Unknown,Unknown
Andy Biggs,Unknown,Unknown
Ro Khanna,Jyotsna Khanna,Ro Khanna
Jimmy Panetta,Sylvia Marie Varni Panetta,Jimmy Panetta
Salud O. Carbajal,Unknown,Unknown
Nanette Diaz Barragán,Unknown,Unknown
J. Luis Correa,Unknown,Unknown
Lisa Blunt Rochester,Unknown,Unknown
Matt Gaetz,Ginger Gaetz,Matt Gaetz
Neal P. Dunn,Unknown,Unknown
John H. Rutherford,Unknown,Unknown
Darren Soto,Unknown,Unknown
Brian J. Mast,Unknown,Unknown
A. Drew Ferguson IV,Unknown,Unknown
Raja Krishnamoorthi,Unknown,Unknown
Jim Banks,Unknown,Unknown
Roger Marshall,Unknown,Unknown
Clay Higgins,Unknown,Unknown
Mike Johnson,Unknown,Unknown
Jamie Raskin,Unknown,Unknown
Jack Bergman,Unknown,Unknown
Ted Budd,Unknown,Unknown
Don Bacon,Unknown,Unknown
Josh Gottheimer,Unknown,Unknown
Jacky Rosen,Unknown,Unknown
Adriano Espaillat,Unknown,Unknown
Brian K. Fitzpatrick,Unknown,Unknown
Lloyd Smucker,Dorothy Smucker,Lloyd Smucker
Jenniffer González-Colón,Unknown,Unknown
David Kustoff,Unknown,Unknown
Vicente Gonzalez,Unknown,Unknown
Jodey C. Arrington,Unknown,Unknown
Pramila Jayapal,Unknown,Unknown
Mike Gallagher,Unknown,Unknown
Ron Estes,Unknown,Unknown
Ralph Norman,Unknown,Unknown
Jimmy Gomez,Unknown,Unknown
John R. Curtis,Unknown,Unknown
Tina Smith,Unknown,Unknown
Cindy Hyde-Smith,Lorraine Hyde,Cindy Hyde-Smith
Debbie Lesko,Unknown,Unknown
Michael Cloud,Unknown,Unknown
Troy Balderson,Unknown,Unknown
Kevin Hern,Unknown,Unknown
Joseph D. Morelle,Unknown,Unknown
Mary Gay Scanlon,Unknown,Unknown
Susan Wild,Unknown,Unknown
Ed Case,Unknown,Unknown
Steven Horsford,Unknown,Unknown
Greg Stanton,Unknown,Unknown
Josh Harder,Unknown,Unknown
Katie Porter,Unknown,Unknown
Mike Levin,Unknown,Unknown
Joe Neguse,Nigisti Neguse,Joe Neguse
Jason Crow,Unknown,Unknown
Jahana Hayes,Unknown,Unknown
Michael Waltz,Unknown,Unknown
W. Gregory Steube,Unknown,Unknown
Lucy McBath,Wilma Pope Johnson,Lucy McBath
Russ Fulcher,Unknown,Unknown
"Jesús G. ""Chuy"" García",Unknown,Unknown
Sean Casten,Unknown,Unknown
Lauren Underwood,Unknown,Unknown
James R. Baird,Unknown,Unknown
Greg Pence,Nancy Pence Fritsch,Mike Pence
Sharice Davids,Crystal Herriage,Sharice Davids
Lori Trahan,Unknown,Unknown
Ayanna Pressley,Sandra Pressley,Ayanna Pressley
David J. Trone,Unknown,Unknown
Elissa Slotkin,Judith Slotkin,Elissa Slotkin
Haley M. Stevens,Maria Marcantonio,Haley M. Stevens
Rashida Tlaib,Faatima Harbi,Rashida Tlaib
Angie Craig,Unknown,Unknown
Dean Phillips,DeeDee Cohen,Dean Phillips
Ilhan Omar,Faduma Abukar Haji Hussein,Ilhan Omar
Pete Stauber,Unknown,Unknown
Michael Guest,Unknown,Unknown
Kelly Armstrong,Unknown,Unknown
Chris Pappas,Unknown,Unknown
Jefferson Van Drew,Unknown,Unknown
Andy Kim,Unknown,Unknown
Mikie Sherrill,Unknown,Unknown
Susie Lee,Unknown,Unknown
Alexandria Ocasio-Cortez,Blanca Ocasio-Cortez,Alexandria Ocasio-Cortez
Madeleine Dean,Joan A. Cunnane,Madeleine Dean
Chrissy Houlahan,Unknown,Unknown
Daniel Meuser,Unknown,Unknown
John Joyce,Unknown,Unknown
Guy Reschenthaler,Unknown,Unknown
William R. Timmons IV,Unknown,Unknown
Dusty Johnson,Unknown,Unknown
Tim Burchett,Joyce Burchett,Tim Burchett
John W. Rose,Unknown,Unknown
Mark E. Green,Unknown,Unknown
Dan Crenshaw,Unknown,Unknown
Lance Gooden,Unknown,Unknown
Lizzie Fletcher,Unknown,Unknown
Veronica Escobar,Unknown,Unknown
Chip Roy,Unknown,Unknown
Sylvia R. Garcia,Unknown,Unknown
Colin Z. Allred,Unknown,Unknown
Ben Cline,Unknown,Unknown
Abigail Davis Spanberger,Unknown,Unknown
Jennifer Wexton,Unknown,Unknown
Kim Schrier,Unknown,Unknown
Bryan Steil,Unknown,Unknown
Carol D. Miller,Unknown,Unknown
Rick Scott,Esther J. Scott,Rick Scott
Mike Braun,Maureen Braun,Mike Braun
Josh Hawley,Virginia Hawley,Josh Hawley
Mitt Romney,Lenore Romney,Mitt Romney
Jared F. Golden,Unknown,Unknown
Dan Bishop,Unknown,Unknown
Gregory F. Murphy,Unknown,Unknown
Kweisi Mfume,Mary Elizabeth Robinson,Kweisi Mfume
Thomas P. Tiffany,Unknown,Unknown
Mike Garcia,Unknown,Unknown
Mark Kelly,Patricia Kelly,Mark Kelly
Cynthia M. Lummis,Doris M. Dickenson,Cynthia M. Lummis
Darrell Issa,Martha Issa,Darrell Issa
Pete Sessions,Alice June Lewis,Pete Sessions
David G. Valadao,Unknown,Unknown
Tommy Tuberville,Olive Tuberville,Tommy Tuberville
John W. Hickenlooper,Anne Hickenlooper,John W. Hickenlooper
Bill Hagerty,Unknown,Unknown
Jerry L. Carl,Unknown,Unknown
Barry Moore,Patricia Hetherington,Barry Moore
Jay Obernolte,Unknown,Unknown
Young Kim,Unknown,Unknown
Michelle Steel,Unknown,Unknown
Sara Jacobs,Norma Chavez,Sara Jacobs
Lauren Boebert,Unknown,Unknown
Kat Cammack,Unknown,Unknown
Scott Franklin,Unknown,Unknown
Byron Donalds,Unknown,Unknown
Carlos A. Gimenez,Unknown,Unknown
Maria Elvira Salazar,Unknown,Unknown
Nikema Williams,Unknown,Unknown
Andrew S. Clyde,Unknown,Unknown
Marjorie Taylor Greene,Unknown,Unknown
Ashley Hinson,Unknown,Unknown
Mariannette Miller-Meeks,Unknown,Unknown
Randy Feenstra,Unknown,Unknown
Mary E. Miller,Unknown,Unknown
Frank J. Mrvan,Unknown,Unknown
Victoria Spartz,Unknown,Unknown
Tracey Mann,Unknown,Unknown
Jake LaTurner,Unknown,Unknown
Jake Auchincloss,Laurie Glimcher,Jake Auchincloss
Lisa C. McClain,Unknown,Unknown
Michelle Fischbach,Unknown,Unknown
Cori Bush,Unknown,Unknown
"Matthew M. Rosendale, Sr.",Unknown,Unknown
Deborah K. Ross,Unknown,Unknown
Kathy E. Manning,Unknown,Unknown
Teresa Leger Fernandez,Unknown,Unknown
Andrew R. Garbarino,Unknown,Unknown
Nicole Malliotakis,Vera Malliotakis,Nicole Malliotakis
Ritchie Torres,Debra Bosolet,Ritchie Torres
Jamaal Bowman,Unknown,Unknown
Stephanie I. Bice,Unknown,Unknown
Cliff Bentz,Unknown,Unknown
Nancy Mace,Anne Mace,Nancy Mace
Diana Harshbarger,Unknown,Unknown
Pat Fallon,Unknown,Unknown
August Pfluger,Unknown,Unknown
Ronny Jackson,Unknown,Unknown
Troy E. Nehls,Unknown,Unknown
Tony Gonzales,Judy Gonzales,Tony Gonzalez
Beth Van Duyne,Unknown,Unknown
Blake D. Moore,Unknown,Unknown
Burgess Owens,Unknown,Unknown
Bob Good,Unknown,Unknown
Marilyn Strickland,Inmin Kim Strickland,Marilyn Strickland
Scott Fitzgerald,"Mary ""Mollie"" McQuillan Fitzgerald",F. Scott Fitzgerald
Alex Padilla,Santos Padilla,Alex Padilla
Jon Ossoff,Heather Fenton,Jon Ossoff
Raphael G. Warnock,Verlene Warnock,Raphael G. Warnock
Claudia Tenney,Unknown,Unknown
Julia Letlow,Unknown,Unknown
Troy A. Carter,Unknown,Unknown
Melanie A. Stansbury,Unknown,Unknown
Jake Ellzey,Unknown,Unknown
Shontel M. Brown,Unknown,Unknown
Mike Carey,Unknown,Unknown
Sheila Cherfilus-McCormick,Unknown,Unknown
Mike Flood,Unknown,Unknown
Brad Finstad,Unknown,Unknown
Mary Sattler Peltola,Unknown,Unknown
Patrick Ryan,Unknown,Unknown
Rudy Yakym III,Unknown,Unknown
Ryan K. Zinke,Jean Montana Harlow Zinke,Ryan K. Zinke
Katie Boyd Britt,Martha Boyd,Katie Boyd Britt
Eric Schmitt,Unknown,Unknown
J.D. Vance,Bev Vance,J.D. Vance
John Fetterman,Unknown,Unknown
Dale W. Strong,Unknown,Unknown
Elijah Crane,Unknown,Unknown
Juan Ciscomani,Unknown,Unknown
Kevin Kiley,Unknown,Unknown
John S. Duarte,Unknown,Unknown
Kevin Mullin,Unknown,Unknown
Sydney Kamlager-Dove,Unknown,Unknown
Robert Garcia,Virginia Garcia,Robert Garcia
Brittany Pettersen,Unknown,Unknown
Yadira Caraveo,Unknown,Unknown
Aaron Bean,Unknown,Unknown
Cory Mills,Unknown,Unknown
Maxwell Frost,Unknown,Unknown
Anna Paulina Luna,Unknown,Unknown
Laurel M. Lee,Unknown,Unknown
Jared Moskowitz,Unknown,Unknown
Richard McCormick,Unknown,Unknown
Mike Collins,Unknown,Unknown
James C. Moylan,Unknown,Unknown
Jill N. Tokuda,Unknown,Unknown
Zachary Nunn,Unknown,Unknown
Jonathan L. Jackson,Unknown,Unknown
Delia C. Ramirez,Unknown,Unknown
Nikki Budzinski,Unknown,Unknown
Eric Sorensen,Unknown,Unknown
Erin Houchin,Unknown,Unknown
Morgan McGarvey,Unknown,Unknown
Glenn Ivey,Unknown,Unknown
Hillary J. Scholten,Unknown,Unknown
John James,Unknown,Unknown
Shri Thanedar,Unknown,Unknown
Mark Alford,Unknown,Unknown
Eric Burlison,Unknown,Unknown
Mike Ezell,Unknown,Unknown
Donald G. Davis,Unknown,Unknown
Valerie P. Foushee,Unknown,Unknown
Chuck Edwards,Unknown,Unknown
Wiley Nickel,Unknown,Unknown
Jeff Jackson,Unknown,Unknown
"Thomas H. Kean, Jr.",Deborah Bye Kean,"Thomas H. Kean, Jr."
Robert Menendez,Evangelina Menendez,Robert Menendez
Gabe Vasquez,Unknown,Unknown
Nick LaLota,Unknown,Unknown
Anthony D’Esposito,Unknown,Unknown
Daniel S. Goldman,Unknown,Unknown
Michael Lawler,Unknown,Unknown
Marcus J. Molinaro,Unknown,Unknown
Brandon Williams,Unknown,Unknown
Nicholas A. Langworthy,Unknown,Unknown
Greg Landsman,Unknown,Unknown
Max L. Miller,Unknown,Unknown
Emilia Strong Sykes,Barbara Sykes,Emilia Strong Sykes
Josh Brecheen,Unknown,Unknown
Val T. Hoyle,Unknown,Unknown
Lori Chavez-DeRemer,Unknown,Unknown
Andrea Salinas,Unknown,Unknown
Summer L. Lee,Unknown,Unknown
Christopher R. Deluzio,Unknown,Unknown
Seth Magaziner,Marion Claire Magaziner,Seth Magaziner
Russell Fry,Unknown,Unknown
Andrew Ogles,Unknown,Unknown
Nathaniel Moran,Unknown,Unknown
Keith Self,Unknown,Unknown
Morgan Luttrell,Holly Luttrell,Marcus Luttrell
Monica De La Cruz,Unknown,Unknown
Jasmine Crockett,Unknown,Unknown
Greg Casar,Unknown,Unknown
Wesley Hunt,Unknown,Unknown
Jennifer Kiggans,Unknown,Unknown
Becca Balint,Unknown,Unknown
Marie Gluesenkamp Perez,Unknown,Unknown
Derrick Van Orden,Unknown,Unknown
Harriet M. Hageman,Unknown,Unknown
Pete Ricketts,Marlene Ricketts,Pete Ricketts
Jennifer L. McClellan,Unknown,Unknown
Laphonza R. Butler,Unknown,Unknown
Gabe Amo,Unknown,Unknown
,Unknown,Unknown
