Celebrity,Mother,Child
Emmanuelle Vaugier,Unknown,Unknown
Aaron Paul,Darla Sturkow,Aaron Paul
Elliot Page,Martha Philpotts,Elliot Page
Robin Tunney,Catherine Tunney,Robin Tunney
Mike Faist,Unknown,Unknown
Tinatin Dalakishvili,Unknown,Unknown
Sarah Snook,Unknown,Unknown
Jenna Ortega,Natalie Ortega,Jenna Ortega
Zoe Saldana,Asalia Nazario,Zoe Saldana
Anjana Vasan,Unknown,Unknown
Ben Mendelsohn,Carole Ann Ferguson,Ben Mendelsohn
Jeremy Allen White,Sherry White,Jeremy Allen White
Ayo Edebiri,Unknown,Unknown
Keanu Reeves,Patricia Taylor,Keanu Reeves
Pom Klementieff,Unknown,Unknown
Scarlett Johansson,Melanie Sloan,Scarlett Johansson
Tornike Gogrichiani,Unknown,Unknown
James Cameron,Shirley Cameron,James Cameron
Pedro Pascal,Verónica Pascal,Pedro Pascal
Kaley Cuoco,Layne Ann Wingate,Kaley Cuoco
Samuel L. Jackson,Elizabeth Harriett Jackson,Samuel L. Jackson
Terri Ivens,Unknown,Unknown
Florence Pugh,Deborah Pugh,Florence Pugh
Shea Whigham,Beth Whigham,Shea Whigham
Kingsley Ben-Adir,Unknown,Unknown
Michael Keaton,Leona Elizabeth Loftus,Michael Keaton
Julian Sands,Unknown,Unknown
Christopher Nolan,Christina Nolan,Christopher Nolan
Tom Hanks,Janet Marylyn Frager,Tom Hanks
Clint Eastwood,Margaret Ruth Runner,Clint Eastwood
Gabriel Macht,Suzanne Victoria Pulier,Gabriel Macht
Fabiana Udenio,Unknown,Unknown
Tom Bateman,Unknown,Unknown
Jack Champion,Unknown,Unknown
Jake Gyllenhaal,Naomi Foner Gyllenhaal,Jake Gyllenhaal
Leonardo DiCaprio,Irmelin Indenbirken,Leonardo DiCaprio
Jason Schwartzman,Talia Shire,Jason Schwartzman
Grace Caroline Currey,Unknown,Unknown
Sydney Sweeney,Lisa Mudd Sweeney,Sydney Sweeney
Emily Rudd,Unknown,Unknown
Samuel Blenkin,Unknown,Unknown
James Marsden,Kathleen Marsden,James Marsden
Jesse Plemons,Lisa Beth Cason,Jesse Plemons
Alan Ritchson,Vickie Ritchson,Alan Ritchson
Cillian Murphy,Unknown,Unknown
Meghan Markle,Doria Ragland,Meghan Markle
Nicole Kidman,Janelle Ann Kidman,Nicole Kidman
Marie Avgeropoulos,Unknown,Unknown
John Hannah,Susan Hannah,John Hannah
Daisy Head,Sarah Jane Fenton,Daisy Head
Mckenna Grace,Crystal Grace,Mckenna Grace
Kate Winslet,Sally Bridges-Winslet,Kate Winslet
Rose Byrne,Jane Byrne,Rose Byrne
Alana De La Garza,Unknown,Unknown
Willa Holland,Darnell Gregorio-De Palma,Willa Holland
Chris Pratt,Kathy Pratt,Chris Pratt
Paxton Whitehead,Unknown,Unknown
Ben Affleck,Christine Anne Boldt,Ben Affleck
Vanessa Kirby,Jane Kirby,Vanessa Kirby
Maitreyi Ramakrishnan,Unknown,Unknown
Brad Pitt,Jane Etta Pitt,Brad Pitt
Juliette Lewis,Glenis Batley,Juliette Lewis
Auden Thornton,Unknown,Unknown
Natalie Alyn Lind,Barbara Alyn Woods,Natalie Alyn Lind
Gerard Butler,Margaret Butler,Gerard Butler
Josh O'Connor,Fiona O'Connor,Josh O'Connor
Adam Bessa,Unknown,Unknown
Mia Sara,Diana Tarchi,Mia Sara
Glenda Jackson,Unknown,Unknown
Sylvester Stallone,Jackie Stallone,Sylvester Stallone
Taylor Sheridan,Unknown,Unknown
Michelle Rodriguez,Carmen Milady Rodriguez,Michelle Rodriguez
Leah Lewis,Lida Lewis,Leah Lewis
Tom Hardy,Anne Hardy,Tom Hardy
Melissa Rauch,Susan Rauch,Melissa Rauch
Brie Larson,Heather Edwards,Brie Larson
Eve Harlow,Unknown,Unknown
Daniel Bernhardt,Unknown,Unknown
Nicholas Hoult,Glenis Hoult,Nicholas Hoult
Kristen Johnston,Unknown,Unknown
Phoebe Waller-Bridge,Teresa Waller-Bridge,Phoebe Waller-Bridge
Cole Hauser,Cass Warner,Cole Hauser
Robert De Niro,Virginia Admiral,Robert De Niro
Karen Allen,Patricia Howell,Karen Allen
Linda Hamilton,Barbara K. Holt,Linda Hamilton
Dawn Olivieri,Unknown,Unknown
Scott Adkins,Unknown,Unknown
Antje Traue,Unknown,Unknown
Jessica Alexander,Unknown,Unknown
Halle Bailey,Courtney Bailey,Halle Bailey
Iñaki Godoy,Unknown,Unknown
Erica Durance,Gail Durance,Erica Durance
Helen Slater,Alice Joan Citrin,Helen Slater
Chloë Grace Moretz,Teri Duke Moretz,Chloë Grace Moretz
Vin Diesel,Delora Vincent,Vin Diesel
Meaghan Rath,Aruna Har Prashad,Meaghan Rath
Keri Russell,Stephanie Stephens,Keri Russell
Kelly Reilly,Unknown,Unknown
Miss Benny,Unknown,Unknown
Jason Statham,Eileen Yates Statham,Jason Statham
Poppy Montgomery,Nicola Montgomery,Poppy Montgomery
Margaret Qualley,Andie MacDowell,Margaret Qualley
Jennifer Connelly,Ilene Connelly,Jennifer Connelly
Hilarie Burton,Unknown,Unknown
Ralph Ineson,Unknown,Unknown
Dagmara Dominczyk,Miroslawa Dominczyk,Dagmara Dominczyk
Lulu Wilson,Unknown,Unknown
Timothée Chalamet,Nicole Flender,Timothée Chalamet
Kaitlyn Leeb,Unknown,Unknown
Quentin Tarantino,Connie McHugh,Quentin Tarantino
Johnny Depp,Betty Sue Palmer,Johnny Depp
Olivia Colman,Mary Leakey,Richard Leakey
Idris Elba,Eve Elba,Idris Elba
Jonah Hauer-King,Debra Hauer,Jonah Hauer-King
Matthew McConaughey,Mary Kathleen McCabe,Matthew McConaughey
Jeffrey Dean Morgan,Sandy Thomas,Jeffrey Dean Morgan
Sarah Rafferty,Mary Lee Rafferty,Sarah Rafferty
Steven Spielberg,Leah Adler,Steven Spielberg
Amanda Seyfried,Ann Seyfried,Amanda Seyfried
Emmy Rossum,Cheryl Rossum,Emmy Rossum
Rachel Brosnahan,Carol Brosnahan,Rachel Brosnahan
Melissa Roxburgh,Shelley Roxburgh,Melissa Roxburgh
Bailey Bass,Unknown,Unknown
Jason Bateman,Victoria Elizabeth Bateman,Jason Bateman
Necar Zadegan,Unknown,Unknown
Kim Cattrall,Shane Cattrall,Kim Cattrall
Ryan Reynolds,Tammy Reynolds,Ryan Reynolds
Brett Goldstein,Fiona Goldstein,Brett Goldstein
Elizabeth Olsen,Jarnette Olsen,Elizabeth Olsen
Robert Downey Jr.,Elsie Ford,Robert Downey Jr.
Kevin Costner,Sharon Rae Tedrick,Kevin Costner
Darren Barnet,Victoria Barnet,Darren Barnet
Bryce Dallas Howard,Cheryl Howard,Bryce Dallas Howard
Luca Guadagnino,Unknown,Unknown
Chris Messina,Unknown,Unknown
Adam Sandler,Judy Sandler,Adam Sandler
Awkwafina,Tia Awkwafina,Awkwafina
Guy Ritchie,Amber Parkinson,Guy Ritchie
Ryan Gosling,Donna Gosling,Ryan Gosling
Jason Momoa,Coni Momoa,Jason Momoa
Kieran Culkin,Kit Culkin,Macaulay Culkin
Teresa Palmer,Paula Sanders,Teresa Palmer
Natasha Lyonne,Ivana Lyonne,Natasha Lyonne
Katee Sackhoff,Mary Sackhoff,Katee Sackhoff
Annie Gonzalez,Unknown,Unknown
Lauren Cohan,Unknown,Unknown
Travis Fimmel,Jennie Fimmel,Travis Fimmel
Christian Bale,Jenny James,Christian Bale
Annalisa Cochrane,Unknown,Unknown
Dwayne Johnson,Ata Johnson,Dwayne Johnson
Emily Blunt,Joanna Mackie,Emily Blunt
Aubrey Plaza,Bernadette Plaza,Aubrey Plaza
Lilly Krug,Veronica Ferres,Lilly Krug
Lauren Lee Smith,Unknown,Unknown
Mel Gibson,Anne Patricia Reilly,Mel Gibson
Maya Hawke,Uma Thurman,Maya Hawke
Mary Lynn Rajskub,Unknown,Unknown
Jason Sudeikis,Kathryn Wendt,Jason Sudeikis
Betty Gilpin,Ann McDonough,Betty Gilpin
Mia Goth,Unknown,Unknown
Aparna Brielle,Unknown,Unknown
Hannah John-Kamen,Unknown,Unknown
Karen Gillan,Marie Gillan,Karen Gillan
Charlize Theron,Gerda Maritz,Charlize Theron
Rina Sawayama,Unknown,Unknown
Cassidy Freeman,Glynna Freeman,Cassidy Freeman
Brian Cox,Molly Cox,Brian Cox
Denzel Washington,Lennis Washington,Denzel Washington
Bill Skarsgård,My Skarsgård,Bill Skarsgård
Jonathan Majors,Unknown,Unknown
Shaun Dooley,Unknown,Unknown
Patrick J. Adams,Rowan Marsh,Patrick J. Adams
Amy Brenneman,Frederica Brenneman,Amy Brenneman
Matthew Macfadyen,Meinir Owen,Matthew Macfadyen
Lee Pace,Charlotte Pace,Lee Pace
Andy Muschietti,Marcela Muschietti,Andy Muschietti
Abby Elliott,Paula Niedert Elliott,Abby Elliott
Dermot Mulroney,Ellen Mulroney,Dermot Mulroney
Lizzy Caplan,Barbara Bragman,Lizzy Caplan
Lindsay Wagner,Marilyn Louise Thrasher,Lindsay Wagner
Maggie Siff,Unknown,Unknown
Melanie Lynskey,Kay Lynskey,Melanie Lynskey
Alison Doody,Joan Doody,Alison Doody
Ebon Moss-Bachrach,Renee Moss,Ebon Moss-Bachrach
Chris Pine,Gwynne Gilford,Chris Pine
Kristen Stewart,Jules Mann-Stewart,Kristen Stewart
Kathryn Newton,Robin Newton,Kathryn Newton
Timothy Olyphant,Katherine Lyon Gideon,Timothy Olyphant
Rachel Zegler,Laura Zegler,Rachel Zegler
Russell Crowe,Jocelyn Yvonne Crowe,Russell Crowe
Walton Goggins,Janet Goggins,Walton Goggins
Richard Madden,Pat Madden,Richard Madden
The Weeknd,Samra Tesfaye,The Weeknd
Katy M. O'Brian,Unknown,Unknown
George Clooney,Nina Bruce Warren,George Clooney
Lukas Gage,Unknown,Unknown
Elizabeth Banks,Ann Wallace,Elizabeth Banks
John Goodman,Virginia Roosloot,John Goodman
Hari Nef,Robin Clebnik,Hari Nef
Michelle Monaghan,Sharon Monaghan,Michelle Monaghan
Jeremy Strong,Unknown,Unknown
Ariel Winter,Chrisoula Workman,Ariel Winter
Martin Scorsese,Catherine Scorsese,Martin Scorsese
Travis Van Winkle,Sally Fitzgerald,Travis Van Winkle
Samara Weaving,Helena Bezzina,Samara Weaving
Edi Patterson,Unknown,Unknown
Brendan Fraser,Carol Mary Fraser,Brendan Fraser
Kim Dickens,Pamela Lynn Howell,Kim Dickens
Portia Doubleday,Christina Hart,Portia Doubleday
Emma Stone,Krista Stone,Emma Stone
Shameik Moore,Sharon Moore,Shameik Moore
Geraldine Viswanathan,Unknown,Unknown
Ethan Peck,Patricia Peck,Ethan Peck
Kaitlin Olson,Melinda Olson,Kaitlin Olson
Andrew Barth Feldman,Unknown,Unknown
Michael Shannon,Geraldine Hine,Michael Shannon
Millie Bobby Brown,Kelly Brown,Millie Bobby Brown
Matt Damon,Nancy Carlsson-Paige,Matt Damon
Sam Worthington,Jeanne J. Worthington,Sam Worthington
Monica Bellucci,Brunella Briganti,Monica Bellucci
Antony Starr,Unknown,Unknown
Kathleen Turner,Patsy Turner,Kathleen Turner
Shailene Woodley,Lori Woodley,Shailene Woodley
Harriet Walter,Ruth Barbara Gregson,Harriet Walter
Abigail Spencer,Yancy Spencer III,Abigail Spencer
Avi Nash,Unknown,Unknown
Mackenyu,Yoko Narahashi,Mackenyu Arata
Elisha Cuthbert,Patricia Cuthbert,Elisha Cuthbert
Jennifer Garner,Patricia Ann Garner,Jennifer Garner
Kiernan Shipka,Erin Ann Brennan,Kiernan Shipka
Ariana DeBose,Gina DeBose,Ariana DeBose
Richard Dormer,Unknown,Unknown
Riley Keough,Lisa Marie Presley,Riley Keough
Mary Elizabeth Winstead,Betty Lou Knight,Mary Elizabeth Winstead
Eiza González,Gloria Reyna,Eiza González
Caitríona Balfe,Anne Connolly,Caitríona Balfe
Ryan Hurst,Candace Kaniecki,Ryan Hurst
Christopher Reeve,Barbara Pitney Lamb,Christopher Reeve
Oscar Isaac,María Eugenia Estrada Nicolle,Oscar Isaac
Tako Tabatadze,Unknown,Unknown
Angourie Rice,Kate Rice,Angourie Rice
Shia LaBeouf,Shayna Saide,Shia LaBeouf
Laura Haddock,Unknown,Unknown
Megan Fox,Gloria Darlene Fox,Megan Fox
Meryl Streep,Mary Wilkinson Streep,Meryl Streep
Erin Sanders,Kathy Silbert-Sanders,Erin Sanders
Selma Blair,Molly Ann Cooke,Selma Blair
Mark Wahlberg,Alma Wahlberg,Mark Wahlberg
Rosamund Pike,Caroline Friend,Rosamund Pike
Morena Baccarin,Vera Setta,Morena Baccarin
Rufus Sewell,Jo Sewell,Rufus Sewell
Robin McLeavy,Unknown,Unknown
Natalie Portman,Shelley Stevens,Natalie Portman
Isabela Merced,Socorro De La Garza,Isabela Merced
Rachel Sennott,Unknown,Unknown
Cate Blanchett,June Blanchett,Cate Blanchett
Patricia Arquette,Brenda Denaut,Patricia Arquette
Sara Ramirez,Sofia Vassilieva,Unknown
Emma Roberts,Kelly Cunningham,Emma Roberts
Natalia Tena,Maria Tena,Natalia Tena
Jessica Brown Findlay,Beverley Findlay,Jessica Brown Findlay
Elsa Pataky,Cristina Pataky Medianu,Elsa Pataky
Carla Gugino,Unknown,Unknown
Sofia Boutella,Architect Safy Boutella.,Sofia Boutella
Rob Delaney,Unknown,Unknown
Lily James,Nina Hellman,Lily James
Raegan Revord,Holly Revord,Raegan Revord
Mackenzie Davis,Lotte Davis,Mackenzie Davis
Linda Cardellini,Lorraine Cardellini,Linda Cardellini
Bruce Willis,Marlene Willis,Bruce Willis
Danna Paola,Patricia Munguia,Danna Paola
Melissa McCarthy,Sandra McCarthy,Melissa McCarthy
Martyn Ford,Unknown,Unknown
Amy Adams,Kathryn Adams,Amy Adams
Chris Evans,Lisa Evans,Chris Evans
Taron Egerton,Christine Egerton,Taron Egerton
Rachel McAdams,Sandra McAdams,Rachel McAdams
Rick Hoffman,Gail Hoffman,Rick Hoffman
Sofia Coppola,Eleanor Coppola,Sofia Coppola
Anne Hathaway,Kate McCauley Hathaway,Anne Hathaway
Sam Heughan,Chrissie Heughan,Sam Heughan
Matt Rife,Unknown,Unknown
Al Pacino,Rose Gerard Pacino,Al Pacino
Jackie Sandler,Unknown,Unknown
Sienna Guillory,Isabel Getz,Sienna Guillory
Mía Maestro,Unknown,Unknown
Paul Dano,Gladys Dano,Paul Dano
Minka Kelly,Maureen Dumont Kelly,Minka Kelly
Michelle Pfeiffer,Donna Pfeiffer,Michelle Pfeiffer
Ben Barnes,Tricia Barnes,Ben Barnes
Sam Claflin,Sue Claflin,Sam Claflin
Jim Caviezel,Maggie Caviezel,Jim Caviezel
Iliza Shlesinger,Ellen Shlesinger,Iliza Shlesinger
Michael Cimino,Unknown,Unknown
Tracy Pollan,Corky Pollan,Michael J. Fox
Daniel Kaluuya,Damalie Namusoke,Daniel Kaluuya
Bradley Cooper,Gloria Campano,Bradley Cooper
Adrianne Palicki,Nancy Palicki,Adrianne Palicki
Katheryn Winnick,Unknown,Unknown
Jensen Ackles,Donna Joan Shaffer-Ackles,Jensen Ackles
Priscilla Quintana,Unknown,Unknown
Steve Zahn,Zelda Zahn,Steve Zahn
Amber Heard,Paige Parsons,Amber Heard
Luke Macfarlane,Penny Macfarlane,Luke Macfarlane
Phil Dunster,Unknown,Unknown
Nicholas Burns,Unknown,Unknown
Rashida Jones,Peggy Lipton,Rashida Jones
Alicia Vikander,Maria Fahl Vikander,Alicia Vikander
Alexandra Billings,Unknown,Unknown
Melanie Scrofano,Unknown,Unknown
Sandra Bullock,Helga Mathilde Meyer,Sandra Bullock
Dar Salim,Unknown,Unknown
Anya Chalotra,Unknown,Unknown
Hassie Harrison,Unknown,Unknown
Abbey Lee,Kerry Kershaw,Abbey Lee Kershaw
Julianna Guill,Unknown,Unknown
Christa Miller,Bonnie Trompeter,Christa Miller
Charlie Brooker,Unknown,Unknown
Freya Allan,Unknown,Unknown
Lukas Haas,Emily Tracy,Lukas Haas
Javier Bardem,Pilar Bardem,Javier Bardem
Melissa Navia,Unknown,Unknown
Sasha Lane,Judith Roberts,Sasha Lane
Rupert Friend,Caroline Friend,Rupert Friend
Ashley Johnson,Nancy Spruiell Johnson,Ashley Johnson
Priyanka Chopra Jonas,Madhu Chopra,Priyanka Chopra Jonas
Blake Lively,Elaine Lively,Blake Lively
Vanessa Ray,Valerie Liptak,Vanessa Ray
Alyssa Sutherland,Unknown,Unknown
Emma Watson,Jacqueline Luesby,Emma Watson
Karl Urban,Jocelyn Christian,Karl Urban
Brandon Sklenar,Unknown,Unknown
Josh Lucas,Michele LeFevre,Josh Lucas
Luciane Buchanan,Unknown,Unknown
Olivia Thirlby,Unknown,Unknown
Angelina Jolie,Marcheline Bertrand,Angelina Jolie
Carolina Miranda,Isabel Castro,Carolina Miranda
Joey King,Jamie King,Joey King
Gillian Jacobs,Marta Jacobs,Gillian Jacobs
Andrea Riseborough,Isabel Johnson,Andrea Riseborough
Clancy Brown,Joyce Helen Eldridge,Clancy Brown
Jennifer Love Hewitt,Patricia Mae Hewitt,Jennifer Love Hewitt
Luna Lauren Velez,Unknown,Unknown
Charlie Day,Mary Day,Charlie Day
Dakota Fanning,Heather Joy Arrington,Dakota Fanning
Alexander Ludwig,Sharlene Martin,Alexander Ludwig
Catalina Sandino Moreno,Unknown,Unknown
Ariana Greenblatt,Solange Greenblatt,Ariana Greenblatt
Liam Neeson,"Katherine ""Kitty"" Neeson",Liam Neeson
Jennifer Aniston,Nancy Dow,Jennifer Aniston
Donnie Yen,Bow-sim Mark,Donnie Yen
Greta Gerwig,Christine Gerwig,Greta Gerwig
Michael J. Fox,Phyllis Piper Fox,Michael J. Fox
Jon Bernthal,Joan Lurie (née Marx),Jon Bernthal
Anthony Carrigan,Unknown,Unknown
Jack Quaid,Meg Ryan,Jack Quaid
Pete Davidson,Amy Davidson,Pete Davidson
Erin Moriarty,Unknown,Unknown
Kelly Macdonald,Unknown,Unknown
Will Smith,Caroline Bright,Will Smith
Léa Seydoux,Valérie Schlumberger,Léa Seydoux
Hong Chau,Unknown,Unknown
Nicole Wallace,Unknown,Unknown
Zachary Levi,Susan Marie Pugh,Zachary Levi
Val Kilmer,Gladys Swanette Ekstadt,Val Kilmer
Olivia Wilde,Leslie Cockburn,Olivia Wilde
Meagan Good,Tyra Wardlow-Doyle,Meagan Good
Eliza Dushku,Judith Rasmussen,Eliza Dushku
Rachel Weisz,Edith Ruth Weisz,Rachel Weisz
Kiersey Clemons,Unknown,Unknown
Joaquin Phoenix,Arlyn Phoenix,Joaquin Phoenix
Charlie Hunnam,Jane Bell,Charlie Hunnam
Sigourney Weaver,Elizabeth Inglis,Sigourney Weaver
Seth Rogen,Sandy Rogen,Seth Rogen
Elle Fanning,Heather Joy Arrington,Elle Fanning
Jon Hamm,Deborah Garner,Jon Hamm
Ivan Hernandez,Unknown,Unknown
David Tennant,Helen McDonald McLeod,David Tennant
Maisie Williams,Hilary Pitt Frances,Maisie Williams
Hannah Cheramy,Unknown,Unknown
Christina Ricci,Sarah Murdoch,Unknown
Lily Rabe,Jill Clayburgh,Lily Rabe
Kate Beckinsale,Judy Loe,Kate Beckinsale
Tia Carrere,Audrey Duhinio Janairo,Tia Carrere
Stephanie Hsu,Unknown,Unknown
Abigail Breslin,Kim Breslin,Abigail Breslin
Natalie Morales,Penelope Morales,Natalie Morales
Jodie Whittaker,Unknown,Unknown
Laura Linney,Miriam Anderson Perse,Laura Linney
Odessa A’zion,Pamela Adlon,Odessa A'zion
Pier Angeli,Enrichetta Romiti,Pier Angeli
Michael Biehn,Marcia Connell,Michael Biehn
Sarah Shahi,Mah Monir Soroush Azar,Sarah Shahi
Sean Patrick Flanery,Genie Flanery,Sean Patrick Flanery
Kaitlyn Dever,Kathy Dever,Kaitlyn Dever
Bruce Campbell,Joanne Louise Campbell,Bruce Campbell
Jason Isaacs,Sheila Isaacs,Jason Isaacs
Robin Williams,Laurie Williams,Robin Williams
Jamie Flatters,Unknown,Unknown
Lena Headey,Unknown,Unknown
Jay Baruchel,Robyne Baruchel,Jay Baruchel
Brittany Snow,Cinda Snow,Brittany Snow
Luna Blaise,Angelyna Martinez,Luna Blaise
Maribel Verdú,Unknown,Unknown
Jacob Elordi,Melissa Elordi,Jacob Elordi
Bailee Madison,Patricia Riley,Bailee Madison
Daniela Melchior,Unknown,Unknown
Adam Driver,Nancy Wright,Adam Driver
Kelsey Asbille,Unknown,Unknown
Alison Brie,Joanne Brenner,Alison Brie
Toby Kebbell,Michelle Mathers,Toby Kebbell
Will Arnett,Edith Alexandra Palk,Will Arnett
Tessa Thompson,Marc Anthony Thompson,Tessa Thompson
Jamie Dornan,Lorna Dornan,Jamie Dornan
Stephen Lang,Theresa Volmer,Stephen Lang
James Spader,Jean Fraser Spader,James Spader
Nicholas Braun,Elizabeth Lyle Braun,Nicholas Braun
Hugh Jackman,Grace McNeil,Hugh Jackman
Daniel Day-Lewis,Jill Balcon,Daniel Day-Lewis
Danny Ramirez,Unknown,Unknown
Keira Knightley,Sharman Macdonald,Keira Knightley
Kristen Bell,Lorelei Bell,Kristen Bell
Jim Carrey,Kathleen Oram,Jim Carrey
Gary Oldman,Kathleen Oldman,Gary Oldman
Jodie Comer,Donna Comer,Jodie Comer
Carrie Preston,Linda Barbara Preston,Carrie Preston
Mariette Hartley,Dorothy Darnell Hartley,Mariette Hartley
Stephen Dorff,Nancy Dorff,Stephen Dorff
Ralph Fiennes,Jennifer Lash,Ralph Fiennes
Zeljko Ivanek,Unknown,Unknown
Rachael Harris,Unknown,Unknown
Kim Engelbrecht,Unknown,Unknown
Sean Connery,Euphemia McBain McLean,Sean Connery
Alice Eve,Sharon Maughan,Alice Eve
Sam Elliott,Glynn Mamie Sparks,Sam Elliott
Kirsten Dunst,Inez Rupprecht,Kirsten Dunst
Mallory Jansen,Unknown,Unknown
Sasha Alexander,Dobrila Pavlovich,Sasha Alexander
Liana Liberato,Rhondelle Liberato,Liana Liberato
Jennette McCurdy,Debra McCurdy,Jennette McCurdy
Harold Perrineau,Sylvia Perrineau,Harold Perrineau
Katy Mixon,Donna Mixon,Katy Mixon
Jessica Chastain,Jerri Chastain,Jessica Chastain
Trinity Jo-Li Bliss,Unknown,Unknown
Luke Grimes,Angie Barker,Luke Grimes
Bryan Cranston,Audrey Peggy Sell,Bryan Cranston
