Legislator,Mother
"Matthew M. Rosendale, Sr.",Unknown,Unknown
Deborah K. Ross,Unknown,Unknown
Kathy E. Manning,Unknown,Unknown
Teresa Leger Fernandez,Unknown,Unknown
Andrew R. Garbarino,Unknown,Unknown
Nicole Malliotakis,Unknown,Unknown
Ritchie Torres,Unknown,Unknown
Jamaal Bowman,Unknown,Unknown
Stephanie I. Bice,Unknown,Unknown
Cliff Bentz,Unknown,Unknown
Nancy Mace,Unknown,Unknown
Diana Harshbarger,Unknown,Unknown
Pat Fallon,Unknown,Unknown
August Pfluger,Unknown,Unknown
Ronny Jackson,Unknown,Unknown
Troy E. Nehls,Unknown,Unknown
Tony Gonzales,Unknown,Unknown
Beth Van Duyne,Unknown,Unknown
Blake D. Moore,Unknown,Unknown
Burgess Owens,Unknown,Unknown
Bob Good,Unknown,Unknown
Marilyn Strickland,Unknown,Unknown
Scott Fitzgerald,Mollie Fitzgerald,Unknown
Alex Padilla,Unknown,Unknown
Jon Ossoff,Unknown,Unknown
Raphael G. Warnock,Unknown,Unknown
Claudia Tenney,Unknown,Unknown
Julia Letlow,Unknown,Unknown
Troy A. Carter,Unknown,Unknown
Melanie A. Stansbury,Unknown,Unknown
Jake Ellzey,Unknown,Unknown
Shontel M. Brown,Unknown,Unknown
Mike Carey,Unknown,Unknown
Sheila Cherfilus-McCormick,Unknown,Unknown
Mike Flood,Unknown,Unknown
Brad Finstad,Unknown,Unknown
Mary Sattler Peltola,Unknown,Unknown
Patrick Ryan,Unknown,Unknown
Rudy Yakym III,Unknown,Unknown
Ryan K. Zinke,Unknown,Unknown
Katie Boyd Britt,Unknown,Unknown
Eric Schmitt,Unknown,Unknown
J.D. Vance,Bev Vance,Unknown
John Fetterman,Unknown,Unknown
Dale W. Strong,Unknown,Unknown
Elijah Crane,Unknown,Unknown
Juan Ciscomani,Unknown,Unknown
Kevin Kiley,Unknown,Unknown
John S. Duarte,Unknown,Unknown
Kevin Mullin,Unknown,Unknown
Sydney Kamlager-Dove,Unknown,Unknown
Robert Garcia,Unknown,Unknown
Brittany Pettersen,Unknown,Unknown
Yadira Caraveo,Unknown,Unknown
Aaron Bean,Unknown,Unknown
Cory Mills,Unknown,Unknown
Maxwell Frost,Unknown,Unknown
Anna Paulina Luna,Unknown,Unknown
Laurel M. Lee,Unknown,Unknown
Jared Moskowitz,Unknown,Unknown
Richard McCormick,Unknown,Unknown
Mike Collins,Unknown,Unknown
James C. Moylan,Unknown,Unknown
Jill N. Tokuda,Unknown,Unknown
Zachary Nunn,Unknown,Unknown
Jonathan L. Jackson,Unknown,Unknown
Delia C. Ramirez,Unknown,Unknown
Nikki Budzinski,Unknown,Unknown
Eric Sorensen,Unknown,Unknown
Erin Houchin,Unknown,Unknown
Morgan McGarvey,Unknown,Unknown
Glenn Ivey,Unknown,Unknown
Hillary J. Scholten,Unknown,Unknown
John James,Unknown,Unknown
Shri Thanedar,Unknown,Unknown
Mark Alford,Unknown,Unknown
Eric Burlison,Unknown,Unknown
Mike Ezell,Unknown,Unknown
Donald G. Davis,Unknown,Unknown
Valerie P. Foushee,Unknown,Unknown
Chuck Edwards,Unknown,Unknown
Wiley Nickel,Unknown,Unknown
Jeff Jackson,Unknown,Unknown
"Thomas H. Kean, Jr.",Unknown,Unknown
Robert Menendez,Unknown,Unknown
Gabe Vasquez,Unknown,Unknown
Nick LaLota,Unknown,Unknown
Anthony D’Esposito,Unknown,Unknown
Daniel S. Goldman,Unknown,Unknown
Michael Lawler,Unknown,Unknown
Marcus J. Molinaro,Unknown,Unknown
Brandon Williams,Unknown,Unknown
Nicholas A. Langworthy,Unknown,Unknown
Greg Landsman,Unknown,Unknown
Max L. Miller,Unknown,Unknown
Emilia Strong Sykes,Unknown,Unknown
Josh Brecheen,Unknown,Unknown
Val T. Hoyle,Unknown,Unknown
Lori Chavez-DeRemer,Unknown,Unknown
Andrea Salinas,Unknown,Unknown
Summer L. Lee,Unknown,Unknown
Christopher R. Deluzio,Unknown,Unknown
Seth Magaziner,Unknown,Unknown
Russell Fry,Unknown,Unknown
Andrew Ogles,Unknown,Unknown
Nathaniel Moran,Unknown,Unknown
Keith Self,Unknown,Unknown
Morgan Luttrell,Unknown,Unknown
Monica De La Cruz,Unknown,Unknown
Jasmine Crockett,Unknown,Unknown
Greg Casar,Unknown,Unknown
Wesley Hunt,Unknown,Unknown
Jennifer Kiggans,Unknown,Unknown
Becca Balint,Unknown,Unknown
Marie Gluesenkamp Perez,Unknown,Unknown
Derrick Van Orden,Unknown,Unknown
Harriet M. Hageman,Unknown,Unknown
Pete Ricketts,Unknown,Unknown
Jennifer L. McClellan,Unknown,Unknown
Laphonza R. Butler,Unknown,Unknown
Gabe Amo,Unknown,Unknown
