Celebrity,Mother
Clint Eastwood,Margaret Ruth Runner,Unknown
Gabriel Macht,Suzanne Victoria Pulier,Adam Levine
Fabiana Udenio,Unknown,Unknown
Tom Bateman,Unknown,Unknown
Jack Champion,Unknown,Unknown
Jake Gyllenhaal,Naomi Foner Gyllenhaal,Jake Gyllenhaal
Leonardo DiCaprio,Irmelin Indenbirken,Leonardo DiCaprio
Jason Schwartzman,Talia Shire,Jason Schwartzman
Grace Caroline Currey,Unknown,Unknown
Sydney Sweeney,Lisa Mudd Sweeney,Unknown
Emily Rudd,Unknown,Unknown
Samuel Blenkin,Unknown,Unknown
James Marsden,Kathleen Marsden,Unknown
Jesse Plemons,Lisa Beth Cason,Unknown
Alan Ritchson,Vickie Ritchson,Unknown
Cillian Murphy,Unknown,Unknown
Meghan Markle,Doria Ragland,Meghan Markle
Nicole Kidman,Janelle Ann Kidman,Nicole Kidman
Marie Avgeropoulos,Unknown,Unknown
John Hannah,Susan Hannah,Unknown
Daisy Head,Sarah Jane Fenton,Dulcie Pearson
Mckenna Grace,Crystal Grace,Unknown
Kate Winslet,Sally Bridges-Winslet,Kate Winslet
Rose Byrne,Jane Byrne,Katherine Byrne
Alana De La Garza,Unknown,Unknown
Willa Holland,Darnell Gregorio-De Palma,Piper De Palma
Chris Pratt,Kathy Pratt,Unknown
Paxton Whitehead,Unknown,Unknown
Ben Affleck,Christine Anne Boldt,Unknown
Vanessa Kirby,Jane Kirby,Unknown
Maitreyi Ramakrishnan,Unknown,Unknown
Brad Pitt,Jane Etta Pitt,Brad Pitt
Juliette Lewis,Glenis Batley,Unknown
Auden Thornton,Unknown,Unknown
Natalie Alyn Lind,Barbara Alyn Woods,Natalie Alyn Lind
Gerard Butler,Margaret Butler,Piers Butler
Josh O'Connor,Fiona O'Connor,Unknown
Adam Bessa,Unknown,Unknown
Mia Sara,Diana Tarcher,Unknown
Glenda Jackson,Unknown,Unknown
Sylvester Stallone,Jackie Stallone,Sylvester Stallone
Taylor Sheridan,Unknown,Unknown
Michelle Rodriguez,Carmen Milady Rodriguez,Unknown
Leah Lewis,Lida Lewis,Unknown
Tom Hardy,Anne Hardy,Unknown
Melissa Rauch,Susan Rauch,Unknown
Brie Larson,Heather Edwards,Unknown
Eve Harlow,Unknown,Unknown
Daniel Bernhardt,Unknown,Unknown
Nicholas Hoult,Glenis Hoult,Naomi Watts
Kristen Johnston,Unknown,Unknown
Phoebe Waller-Bridge,Teresa Waller-Bridge,Phoebe Waller-Bridge
Cole Hauser,Cass Warner,Cole Hauser
Robert De Niro,Virginia Admiral,Robert De Niro
Karen Allen,Patricia Howell,Unknown
Linda Hamilton,Barbara K. Holt,Unknown
Dawn Olivieri,Unknown,Unknown
Scott Adkins,Unknown,Unknown
Antje Traue,Unknown,Unknown
Jessica Alexander,Unknown,Unknown
Halle Bailey,Courtney Bailey,Unknown
Iñaki Godoy,Unknown,Unknown
Erica Durance,Gail Durance,Unknown
Helen Slater,Alice Joan Citrin,Unknown
Chloë Grace Moretz,Teri Duke Moretz,Chloë Grace Moretz
Vin Diesel,Delora Vincent,Vin Diesel
Meaghan Rath,Unknown,Unknown
Keri Russell,Stephanie Stephens,Unknown
Kelly Reilly,Unknown,Unknown
Miss Benny,Unknown,Unknown
Jason Statham,Eileen Yates Statham,Jason Statham
Poppy Montgomery,Nicola Montgomery,Unknown
Margaret Qualley,Andie MacDowell,Margaret Qualley
Jennifer Connelly,Ilene Connelly,Unknown
Hilarie Burton,Unknown,Unknown
Ralph Ineson,Unknown,Unknown
Dagmara Dominczyk,Miroslawa Dominczyk,Unknown
Lulu Wilson,Unknown,Unknown
Timothée Chalamet,Nicole Flender,Timothee Chalamet
Kaitlyn Leeb,Unknown,Unknown
Quentin Tarantino,Connie McHugh,Unknown
Johnny Depp,Betty Sue Palmer,Johnny Depp
Olivia Colman,Mary Leakey,Richard Leakey
Idris Elba,Eve Elba,Unknown
Jonah Hauer-King,Debra Hauer,Unknown
Matthew McConaughey,Mary Kathleen McCabe,Neil Armstrong
Jeffrey Dean Morgan,Sandy Thomas,Unknown
Sarah Rafferty,Mary Lee Rafferty,Unknown
Steven Spielberg,Leah Adler,Steven Spielberg
Amanda Seyfried,Ann Seyfried,Nina Seyfried
Emmy Rossum,Cheryl Rossum,Emmy Rossum
Rachel Brosnahan,Carol Brosnahan,Kate Spade
Melissa Roxburgh,Shelley Roxburgh,Unknown
Bailey Bass,Unknown,Unknown
Jason Bateman,Victoria Elizabeth Bateman,Unknown
Necar Zadegan,Unknown,Unknown
Kim Cattrall,Shane Cattrall,Unknown
Ryan Reynolds,Tammy Reynolds,Unknown
Brett Goldstein,Fiona Goldstein,Unknown
Elizabeth Olsen,Jarnette Olsen,Mary-Kate Olsen
Robert Downey Jr.,Elsie Ann Ford,Robert Downey Jr.
Kevin Costner,Sharon Rae Tedrick,Sheryl Crow
Darren Barnet,Victoria Barnet,Unknown
Bryce Dallas Howard,Cheryl Howard,Bryce Dallas Howard
Luca Guadagnino,Unknown,Unknown
Chris Messina,Unknown,Unknown
Adam Sandler,Judy Sandler,Adam Sandler
Awkwafina,Tia Awkwafina,Unknown
Guy Ritchie,Amber Parkinson,Unknown
Ryan Gosling,Donna Gosling,Ryan Gosling
Jason Momoa,Coni Momoa,Lola Iolani Momoa
Kieran Culkin,Kit Culkin,Macaulay Culkin
Teresa Palmer,Paula Sanders,Unknown
Natasha Lyonne,Ivana Lyonne,Unknown
Katee Sackhoff,Mary Sackhoff,Unknown
Annie Gonzalez,Unknown,Unknown
Lauren Cohan,Unknown,Unknown
Travis Fimmel,Jennie Fimmel,Unknown
Christian Bale,Jenny James,Unknown
Annalisa Cochrane,Unknown,Unknown
Dwayne Johnson,Ata Johnson,"Dwayne ""The Rock"" Johnson"
Emily Blunt,Joanna Mackie,Unknown
Aubrey Plaza,Bernadette Plaza,Unknown
Lilly Krug,Veronica Ferres,Lilly Krug
Lauren Lee Smith,Unknown,Unknown
Mel Gibson,Anne Patricia Reilly,Unknown
Maya Hawke,Uma Thurman,Maya Hawke
Mary Lynn Rajskub,Unknown,Unknown
Jason Sudeikis,Kathryn Wendt,Unknown
Betty Gilpin,Ann McDonough,Unknown
Mia Goth,Unknown,Unknown
Aparna Brielle,Unknown,Unknown
Hannah John-Kamen,Unknown,Unknown
Karen Gillan,Marie Gillan,Karen Gillan
Charlize Theron,Gerda Maritz,Unknown
Rina Sawayama,Unknown,Unknown
Cassidy Freeman,Glynna Freeman,Morgan Freeman
Brian Cox,Molly Cox,Unknown
Denzel Washington,Lennis Washington,Denzel Washington
Bill Skarsgård,My Skarsgård,Bill Skarsgård
Jonathan Majors,Unknown,Unknown
Shaun Dooley,Unknown,Unknown
Patrick J. Adams,Rowan Marsh,Unknown
Amy Brenneman,Frederica Brenneman,Amy Brenneman
Matthew Macfadyen,Meinir Owen,Unknown
Lee Pace,Charlotte Pace,Unknown
Andy Muschietti,Marcela Sayagues,Unknown
Abby Elliott,Paula Niedert Elliott,Abby Elliott
Dermot Mulroney,Ellen Mulroney,Unknown
Lizzy Caplan,Barbara Bragman,Unknown
Lindsay Wagner,Marilyn Louise Thrasher,Unknown
Maggie Siff,Unknown,Unknown
Melanie Lynskey,Kay Lynskey,Unknown
Alison Doody,Joan Doody,Unknown
Ebon Moss-Bachrach,Renee Moss,Unknown
Chris Pine,Gwynne Gilford,Chris Pine
Kristen Stewart,Jules Mann-Stewart,Kristen Stewart
Kathryn Newton,Robin Newton,Unknown
Timothy Olyphant,Katherine Lyon Gideon,Unknown
Rachel Zegler,Laura Zegler,Unknown
Russell Crowe,Jocelyn Yvonne Crowe,Russell Crowe
Walton Goggins,Janet Goggins,David Goggins
Richard Madden,Pat Madden,Unknown
The Weeknd,Samra Tesfaye,The Weeknd (Abel Tesfaye)
Katy M. O'Brian,Unknown,Unknown
George Clooney,Nina Bruce Warren,Jeff Bezos
Lukas Gage,Unknown,Unknown
Elizabeth Banks,Ann Wallace,Unknown
John Goodman,Virginia Roosloot,Unknown
Hari Nef,Robin Clebnik,Unknown
Michelle Monaghan,Sharon Monaghan,Unknown
Jeremy Strong,Unknown,Unknown
Ariel Winter,Chrisoula Workman,Ariel Winter
Martin Scorsese,Catherine Scorsese,Martin Scorsese
Travis Van Winkle,Sally Fitzgerald,Unknown
Samara Weaving,Helena Bezzina,Unknown
Edi Patterson,Unknown,Unknown
Brendan Fraser,Carol Mary Fraser,Unknown
Kim Dickens,Pamela Lynn Howell,Eminem
Portia Doubleday,Christina Hart,Danielle Panabaker
Emma Stone,Krista Stone,Emma Stone
Shameik Moore,Sharon Moore,Unknown
Geraldine Viswanathan,Unknown,Unknown
Ethan Peck,Patricia Peck,Unknown
Kaitlin Olson,Melinda Olson,Unknown
Andrew Barth Feldman,Unknown,Unknown
Michael Shannon,Geraldine Hine,Unknown
Millie Bobby Brown,Kelly Brown,Unknown
Matt Damon,Nancy Carlsson-Paige,Matt Damon
Sam Worthington,Jeanne J. Worthington,Unknown
Monica Bellucci,Brunella Briganti,Monica Bellucci
Antony Starr,Unknown,Unknown
Kathleen Turner,Patsy Turner,Unknown
Shailene Woodley,Lori Woodley,Shailene Woodley
Harriet Walter,Ruth Barbara Gregson,Unknown
Abigail Spencer,Yancy Spencer III,Sterling Spencer
Avi Nash,Unknown,Unknown
Mackenyu,Yoko Narahashi,Yujiro Narahashi
Elisha Cuthbert,Patricia Cuthbert,Unknown
Jennifer Garner,Patricia Ann Garner,Jennifer Garner
Kiernan Shipka,Erin Ann Brennan,Unknown
Ariana DeBose,Gina DeBose,Unknown
Richard Dormer,Unknown,Unknown
Riley Keough,Lisa Marie Presley,Riley Keough
Mary Elizabeth Winstead,Betty Lou Knight,Tom Cruise
Eiza González,Gloria Reyna,Unknown
Caitríona Balfe,Anne Connolly,Unknown
Ryan Hurst,Candace Kaniecki,Unknown
Christopher Reeve,Barbara Pitney Lamb,Unknown
Oscar Isaac,María Eugenia Estrada Nicolle,Unknown
Tako Tabatadze,Unknown,Unknown
Angourie Rice,Kate Rice,Unknown
Shia LaBeouf,Shayna Saide,Shia LaBeouf
Laura Haddock,Unknown,Unknown
Megan Fox,Gloria Darlene Fox,Megan Fox
Meryl Streep,Mary Wilkinson Streep,Mamie Gummer
Erin Sanders,Kathy Silbert-Sanders,Unknown
Selma Blair,Molly Ann Cooke,Unknown
Mark Wahlberg,Alma Wahlberg,Mark Wahlberg
Rosamund Pike,Caroline Friend,Unknown
Morena Baccarin,Vera Setta,Wagner Moura
Rufus Sewell,Jo Sewell,Unknown
Robin McLeavy,Unknown,Unknown
Natalie Portman,Shelley Stevens,Unknown
Isabela Merced,Socorro De La Garza,Unknown
Rachel Sennott,Unknown,Unknown
Cate Blanchett,June Blanchett,Unknown
Patricia Arquette,Brenda Denaut,Unknown
Sara Ramirez,Sofia Vassilieva,Unknown
Emma Roberts,Kelly Cunningham,Emma Roberts
Natalia Tena,Maria Tena,Unknown
Jessica Brown Findlay,Beverley Findlay,Unknown
Elsa Pataky,Cristina Pataky Medianu,India Rose Hemsworth
Carla Gugino,Unknown,Unknown
Sofia Boutella,Architect Safy Boutella.,Kenza Farah
Rob Delaney,Unknown,Unknown
Lily James,Nina Hellman,Unknown
Raegan Revord,Holly Revord,Unknown
Mackenzie Davis,Lotte Davis,Unknown
Linda Cardellini,Lorraine Cardellini,Unknown
Bruce Willis,Marlene Willis,Bruce Willis
Danna Paola,Patricia Munguia,Unknown
Melissa McCarthy,Sandra McCarthy,Unknown
Martyn Ford,Unknown,Unknown
Amy Adams,Kathryn Adams,Maria Shriver
Chris Evans,Lisa Evans,Chris Evans
Taron Egerton,Christine Egerton,Unknown
Rachel McAdams,Sandra McAdams,Unknown
Rick Hoffman,Gail Hoffman,Dustin Hoffman
Sofia Coppola,Eleanor Coppola,Sofia Coppola
Anne Hathaway,Kate McCauley Hathaway,Anne Hathaway
Sam Heughan,Chrissie Heughan,Sam Heughan
Matt Rife,Unknown,Unknown
Al Pacino,Rose Gerard Pacino,Al Pacino
Jackie Sandler,Lila Titone,Jennifer Aniston
Sienna Guillory,Isabel Getz,Unknown
Mía Maestro,Unknown,Unknown
Paul Dano,Gladys Dano,Unknown
Minka Kelly,Maureen Dumont Kelly,Trevor Noah
Michelle Pfeiffer,Donna Pfeiffer,Unknown
Ben Barnes,Tricia Barnes,Unknown
Sam Claflin,Sue Claflin,Unknown
Jim Caviezel,Maggie Caviezel,Unknown
Iliza Shlesinger,Ellen Shlesinger,Unknown
Michael Cimino,Unknown,Unknown
Tracy Pollan,Corky Pollan,Michael J. Fox
Daniel Kaluuya,Damalie Namusoke,Unknown
Bradley Cooper,Gloria Campano,Bradley Cooper
Adrianne Palicki,Nancy Palicki,Adrianne Palicki
Katheryn Winnick,Unknown,Unknown
Jensen Ackles,Donna Joan Shaffer-Ackles,Jensen Ackles
Priscilla Quintana,Unknown,Unknown
Steve Zahn,Zelda Zahn,Unknown
Amber Heard,Paige Parsons,Unknown
Luke Macfarlane,Penny Macfarlane,Seth MacFarlane
Phil Dunster,Unknown,Unknown
Nicholas Burns,Unknown,Unknown
Rashida Jones,Peggy Lipton,Rashida Jones
Alicia Vikander,Maria Fahl Vikander,Alicia Vikander
Alexandra Billings,Unknown,Unknown
Melanie Scrofano,Unknown,Unknown
Sandra Bullock,Helga Mathilde Meyer,Meryl Streep
Dar Salim,Unknown,Unknown
Anya Chalotra,Unknown,Unknown
Hassie Harrison,Unknown,Unknown
Abbey Lee,Kerry Kershaw,Unknown
Julianna Guill,Unknown,Unknown
Christa Miller,Bonnie Trompeter,Unknown
Charlie Brooker,Unknown,Unknown
Freya Allan,Unknown,Unknown
Lukas Haas,Emily Tracy,Unknown
Javier Bardem,Pilar Bardem,Javier Bardem
Melissa Navia,Unknown,Unknown
Sasha Lane,Judith Roberts,Unknown
Rupert Friend,Caroline Friend,Unknown
Ashley Johnson,Nancy Spruiell Johnson,Unknown
Priyanka Chopra Jonas,Madhu Chopra,Priyanka Chopra
Blake Lively,Elaine Lively,Blake Lively
Vanessa Ray,Valerie Liptak,Unknown
Alyssa Sutherland,Unknown,Unknown
Emma Watson,Jacqueline Luesby,Emma Watson
Karl Urban,Jocelyn Christian,Unknown
Brandon Sklenar,Unknown,Unknown
Josh Lucas,Michele LeFevre,Jennifer Aniston
Luciane Buchanan,Unknown,Unknown
Olivia Thirlby,Unknown,Unknown
Angelina Jolie,Marcheline Bertrand,Angelina Jolie
Carolina Miranda,Isabel Castro,Unknown
Joey King,Jamie King,James Knight Newman
Gillian Jacobs,Marta Jacobs,Unknown
Andrea Riseborough,Isabel Johnson,Unknown
Clancy Brown,Joyce Helen Eldridge,Unknown
Jennifer Love Hewitt,Patricia Mae Hewitt,Jennifer Love Hewitt
Luna Lauren Velez,Unknown,Unknown
Charlie Day,Mary Day,Unknown
Dakota Fanning,Heather Joy Arrington,Unknown
Alexander Ludwig,Sharlene Martin,Unknown
Catalina Sandino Moreno,Martha Moreno,Unknown
Ariana Greenblatt,Solange Greenblatt,Unknown
Liam Neeson,"Katherine ""Kitty"" Neeson",Liam Neeson
Jennifer Aniston,Nancy Dow,Jennifer Aniston
Donnie Yen,Bow-sim Mark,Donnie Yen
Greta Gerwig,Christine Gerwig,Greta Gerwig
Michael J. Fox,Phyllis Piper Fox,Unknown
Jon Bernthal,Joan Lurie (née Marx),Unknown
Anthony Carrigan,Unknown,Unknown
Jack Quaid,Meg Ryan,Jack Quaid
Pete Davidson,Amy Davidson,Unknown
Erin Moriarty,Unknown,Unknown
Kelly Macdonald,Unknown,Unknown
Will Smith,Caroline Bright,Unknown
Léa Seydoux,Valérie Schlumberger,Léa Seydoux
Hong Chau,Unknown,Unknown
Nicole Wallace,Unknown,Unknown
Zachary Levi,Susan Marie Pugh,Unknown
Val Kilmer,Gladys Swanette Ekstadt,Unknown
Olivia Wilde,Leslie Cockburn,Olivia Wilde
Meagan Good,Tyra Wardlow-Doyle,Unknown
Eliza Dushku,Judith Rasmussen,Unknown
Rachel Weisz,Edith Ruth Weisz,Rachel Weisz
Kiersey Clemons,Unknown,Unknown
Joaquin Phoenix,Arlyn Phoenix,Joaquin Phoenix
Charlie Hunnam,Jane Bell,Unknown
Sigourney Weaver,Elizabeth Inglis,Sigourney Weaver
Seth Rogen,Sandy Rogen,Seth Rogen
Elle Fanning,Heather Joy Arrington,Unknown
Jon Hamm,Deborah Garner,Jennifer Garner
Ivan Hernandez,Unknown,Unknown
David Tennant,Helen McDonald McLeod,Alexander Graham Bell
Maisie Williams,Hilary Pitt Frances,Unknown
Hannah Cheramy,Unknown,Unknown
Christina Ricci,Sarah Murdoch,Kalila Murdoch
Lily Rabe,Jill Clayburgh,Lily Rabe
Kate Beckinsale,Judy Loe,Kate Beckinsale
Tia Carrere,Audrey Duhinio Janairo,Nicole Scherzinger
Stephanie Hsu,Unknown,Unknown
Abigail Breslin,Kim Breslin,Abigail Breslin
Natalie Morales,Penelope Morales,Unknown
Jodie Whittaker,Yvonne Whittaker,John Legend
Laura Linney,Miriam Anderson Perse,Unknown
Odessa A’zion,Pamela Adlon,Gideon Adlon
Pier Angeli,Enrichetta Romiti,Unknown
Michael Biehn,Marcia Connell,Unknown
Sarah Shahi,Mah Monir Soroush Azar,Christiane Amanpour
Sean Patrick Flanery,Genie Flanery,Unknown
Kaitlyn Dever,Kathy Dever,Unknown
Bruce Campbell,Joanne Louise Campbell,Naomi Campbell
Jason Isaacs,Sheila Isaacs,Unknown
Robin Williams,Laurie McLaurin,Zak Williams
Jamie Flatters,Unknown,Unknown
Lena Headey,Unknown,Unknown
Jay Baruchel,Robyne Baruchel,Jay Baruchel
Brittany Snow,Cinda Snow,Unknown
Luna Blaise,Angelyna Martinez,Unknown
Maribel Verdú,Unknown,Unknown
Jacob Elordi,Melissa Elordi,Jacob Elordi
Bailee Madison,Patricia Riley,Unknown
Daniela Melchior,Unknown,Unknown
Adam Driver,Nancy Wright,Unknown
Kelsey Asbille,Unknown,Unknown
Alison Brie,Joanne Brenner,Unknown
Toby Kebbell,Michelle Mathers,Unknown
Will Arnett,Edith Alexandra Palk,Agatha Christie
Tessa Thompson,Marc Anthony Thompson,Tessa Thompson
Jamie Dornan,Lorna Dornan,Dulcie Dornan
Stephen Lang,Theresa Volmer,Unknown
James Spader,Jean Fraser Spader,Sebastian Spader
Nicholas Braun,Elizabeth Lyle Braun,Unknown
Hugh Jackman,Grace McNeil,Unknown
Daniel Day-Lewis,Jill Balcon,Daniel Day-Lewis
Danny Ramirez,Unknown,Unknown
Keira Knightley,Sharman Macdonald,Keira Knightley
Kristen Bell,Lorelei Bell,Unknown
Jim Carrey,Kathleen Oram,Unknown
Gary Oldman,Kathleen Cheriton,Unknown
Jodie Comer,Donna Comer,Unknown
Carrie Preston,Linda Barbara Preston,Unknown
Mariette Hartley,Dorothy Darnell Hartley,Unknown
Stephen Dorff,Nancy Dorff,Unknown
Ralph Fiennes,Jennifer Lash,Ralph Fiennes
Zeljko Ivanek,Unknown,Unknown
Rachael Harris,Unknown,Unknown
Kim Engelbrecht,Unknown,Unknown
Sean Connery,Euphemia McBain McLean,Alexander Graham Bell
Alice Eve,Sharon Maughan,Alice Eve
Sam Elliott,Glynn Mamie Sparks,Unknown
Kirsten Dunst,Inez Rupprecht,Unknown
Mallory Jansen,Unknown,Unknown
Sasha Alexander,Dobrila Pavlovich,Unknown
Liana Liberato,Rhondelle Liberato,Unknown
Jennette McCurdy,Debra McCurdy,Jennette McCurdy
Harold Perrineau,Sylvia Perrineau,Aurora Perrineau
Katy Mixon,Donna Mixon,Unknown
Jessica Chastain,Jerri Chastain,Jessica Chastain
Trinity Jo-Li Bliss,Unknown,Unknown
Luke Grimes,Angie Barker,Unknown
Bryan Cranston,Audrey Peggy Sell,Unknown
